,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant,agent0_840,agent1_840,agent2_840,agent3_840,agent4_840,agent5_840
0,-0.3771909475326538,-0.5323941111564636,-1.754801869392395,-2.045403957366944,-2.047790765762329,-2.220992088317871,-0.4744280576705932,-0.023960031569004,-6.973386287689209,-9.065486907958984,-9.329344749450684,-9.445897102355955
2,-0.5020290017127991,-1.3372365236282349,-2.5551400184631348,-2.008052349090576,-2.624279737472534,-2.5492608547210693,-0.1266825348138809,-0.0377766266465187,-0.0505715794861316,-7.8752593994140625,-30.550724029541016,-31.99633407592773
4,-0.4481785297393799,-1.74228835105896,-2.035566091537476,-0.6966662406921387,-0.415364533662796,-1.7114742994308472,-1.1641488075256348,-0.3812302350997925,-0.200625941157341,-0.1850245594978332,-0.1309860497713089,-2.452850580215454
6,-0.6157191395759583,-1.1768916845321655,-2.3151180744171143,-2.4375245571136475,-2.245400667190552,-2.5829997062683105,-1.9477570056915283,-0.1806244105100631,-0.2856191098690033,-1.1011821031570437,-13.8097505569458,-29.601226806640625
5,-0.5115102529525757,-1.4930299520492554,-0.651938259601593,-1.1274113655090332,-2.173169612884521,-1.834818840026856,-0.3345688581466675,-0.2570895850658417,-0.2833975553512573,-3.3004934787750244,-11.122014045715332,-31.054590225219727
1,-0.496779203414917,-0.2966448366641998,-2.148618459701538,-2.242097854614258,-2.242097854614258,-2.159519910812378,-0.1050092428922653,-0.1757689714431762,-5.048248291015625,-5.874117374420166,-5.874117374420166,-10.81850814819336
3,-0.433506041765213,-0.9016590118408204,-0.6831239461898804,-1.0195086002349854,-1.3936036825180054,-1.93179190158844,-0.0222170688211917,-0.7931024432182312,-0.0222167856991291,-0.1528791338205337,-0.4982421696186065,-6.615206718444824
7,-0.7125813364982605,-2.1970200538635254,-1.6713603734970093,-1.6041651964187622,-2.468871831893921,-2.294684886932373,-1.8259257078170776,-0.78048175573349,-0.6026424169540405,-6.652533531188965,-10.924501419067385,-15.92645263671875
8,-0.6942728161811829,-1.369093656539917,-1.4688165187835691,-0.908021092414856,-2.0381946563720703,-3.463857650756836,-1.8956423997879028,-0.3444862961769104,-1.3097203969955444,-0.2414537668228149,-0.1207426339387893,-14.528671264648438
10,-0.8793792724609375,-1.2811914682388306,-1.2955999374389648,-6.484235763549805,-4.04116153717041,-3.190513849258423,-0.6787524223327637,-0.1853790134191513,-0.030980497598648,-0.1128370761871337,-2.182398796081543,-0.4472826421260834
12,-0.8015292286872864,-1.0706233978271484,-2.974993228912353,-2.74895453453064,-1.7188942432403564,-2.1663014888763428,-1.8565459251403809,-0.0822657719254493,-9.374289512634276,-40.0443115234375,-38.505157470703125,-38.73042678833008
14,-0.8443690538406372,-1.1455705165863037,-1.2484445571899414,-0.6223928928375244,-0.776914119720459,-1.6317944526672363,-1.185119867324829,-0.2955884933471679,-0.0417253896594047,-0.0196688454598188,-0.0439901947975158,-0.1048995554447174
13,-0.8881723284721375,-2.3057003021240234,-2.3494296073913574,-3.2392587661743164,-2.952910661697388,-3.095377206802368,-0.11428052932024,-0.1905135065317154,-0.4910750389099121,-7.059646129608154,-35.780845642089844,-36.37099838256836
11,-1.0650506019592283,-0.5990498661994934,-1.9442265033721924,-1.85089910030365,-2.262414693832397,-2.0134871006011963,-0.8051341772079468,-0.1467431038618087,-4.957771301269531,-2.834380865097046,-6.80169677734375,-7.324960231781006
18,-1.391627311706543,-2.4489924907684326,-2.5887417793273926,-2.636070489883423,-2.636070489883423,-2.5128707885742188,-1.704549789428711,-12.065080642700195,-13.530946731567385,-13.781415939331056,-13.781415939331056,-14.207980155944824
15,-0.4905961155891418,-0.6701561808586121,-0.5186984539031982,-1.192001223564148,-1.2728499174118042,-0.0620746128261089,-0.0029029394499957,-0.0787386149168014,-0.1273778527975082,-0.273295521736145,-0.0450774654746055,-0.011679479852318764
9,-0.6193280816078186,-1.0164315700531006,-1.7149181365966797,-1.816612243652344,-2.059246778488159,-2.229866504669189,-0.173257291316986,-0.3826779127120971,-1.9542770385742188,-21.115991592407227,-12.1104097366333,-18.61006164550781
16,-0.4582504034042358,-0.61741703748703,-0.4068233966827392,-2.540027379989624,-1.834373950958252,-2.052385807037353,-0.374805748462677,-0.7122268080711365,-0.5488793849945068,-8.212630271911621,-17.63059425354004,-34.343509674072266
19,-1.4045429229736328,-0.9112371206283568,-0.7662608027458191,-2.380670547485352,-2.380670547485352,-2.112566471099853,-0.6562077403068542,-0.0563666708767414,-0.4592770636081695,-4.851519584655762,-4.851519584655762,-6.648157119750977
17,-0.62388014793396,-0.7661190629005432,-1.2011734247207642,-0.926393747329712,-1.0545895099639893,-0.6700130701065063,-0.4209116101264953,-0.172842338681221,-0.2461700290441513,-1.5241786241531372,-0.4914338588714599,-0.5061934590339661
