,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant,agent0_125,agent1_125,agent2_125,agent3_125,agent4_125,agent5_125
0,-0.5693705081939697,-0.4500164091587066,-0.8429259061813354,-1.838388442993164,-2.862622737884521,-2.5356178283691406,-0.2153615057468414,-0.0760922208428382,-0.0739402174949646,-0.1763415932655334,-20.86260986328125,-15.119888305664062
2,-0.5383468866348267,-1.0476436614990234,-1.717559814453125,-2.305344581604004,-2.163493394851685,-2.275956630706787,-0.1237447708845138,-0.2523618936538696,-0.128228947520256,-26.54501914978028,-25.315746307373047,-28.1030387878418
4,-0.5937347412109375,-0.7119378447532654,-1.8440396785736084,-1.9952335357666016,-1.976785659790039,-0.9722777605056764,-0.1818174123764038,-0.0511173121631145,-0.0835404768586158,-0.281666100025177,-3.091691017150879,-1.5170133113861084
6,-0.6706819534301758,-0.958431839942932,-2.862866401672364,-2.613811492919922,-2.613811492919922,-2.59389877319336,-0.9628697633743286,-0.0472946763038635,-10.726900100708008,-11.92611312866211,-11.92611312866211,-14.958553314208984
5,-0.9546102285385132,-1.162152647972107,-2.235265254974365,-2.13499116897583,-2.13499116897583,-1.7500693798065186,-0.2866438031196594,-0.2033511102199554,-7.339827537536621,-11.546223640441896,-11.546223640441896,-12.226728439331056
1,-1.3204272985458374,-3.5828678607940674,-2.3807921409606934,-2.2782204151153564,-2.2467525005340576,-2.4150586128234863,-0.671843945980072,-4.403703689575195,-14.82740306854248,-18.62074089050293,-18.619415283203125,-19.530441284179688
3,-0.8615518808364868,-0.8125566244125366,-1.1204332113265991,-2.3602490425109863,-2.456828355789185,-2.550965547561645,-0.0105145769193768,-0.0421859323978424,-0.8156515955924988,-9.778705596923828,-10.15349006652832,-13.680867195129396
7,-0.8612333536148071,-1.0416030883789062,-0.8851198554039001,-0.6374350190162659,-2.7592673301696777,-2.357135057449341,-0.5691907405853271,-3.1597683429718018,-0.1136601120233535,-0.1006983816623687,-8.319721221923828,-16.769155502319336
8,-1.2534031867980957,-0.7150464057922363,-1.4502789974212646,-2.1455962657928467,-1.8236019611358645,-2.181535243988037,-0.9931091070175172,-0.174095869064331,-2.5575616359710693,-11.154352188110352,-8.976174354553223,-14.621273040771484
10,-0.8987512588500977,-1.4496228694915771,-0.8271069526672363,-2.7221179008483887,-1.0194225311279297,-1.8304777145385744,-0.9200717210769652,-5.864861965179443,-3.051523447036743,-10.299448013305664,-0.2187116891145706,-4.11220121383667
12,-1.2452760934829712,-0.9006857872009277,-2.63417911529541,-3.231987714767456,-3.2737181186676025,-2.994370937347412,-0.917687714099884,-0.1222475245594978,-5.834778308868408,-14.289314270019531,-7.719651222229004,-22.772823333740234
14,-1.122645139694214,-0.6712636947631836,-0.2913514971733093,-0.8832389116287231,-1.2997455596923828,-1.965378165245056,-0.7879020571708679,-0.335781067609787,-0.2394702434539795,-3.836633682250977,-8.05578899383545,-3.805633306503296
13,-0.7604450583457947,-1.9315379858016968,-1.431596040725708,-2.518205165863037,-1.697895646095276,-1.771942138671875,-0.1990238279104232,-0.5192307829856873,-0.0344492644071579,-6.792080879211426,-7.487608432769775,-14.05241584777832
11,-1.7674353122711182,-1.3507490158081057,-1.4940580129623413,-2.294854164123535,-2.255699634552002,-2.1868467330932617,-0.7456085681915283,-0.2115236222743988,-0.1451579481363296,-11.73748016357422,-12.025327682495115,-17.420928955078125
18,-0.9400842189788818,-2.158246755599976,-1.8493518829345703,-2.390174627304077,-2.144724607467652,-2.3921239376068115,-0.7545157074928284,-4.552834987640381,-3.898770093917847,-10.381473541259766,-11.52658748626709,-19.37216758728028
15,-1.0430254936218262,-0.8316916227340698,-0.3518118262290954,-1.121251940727234,-2.0506722927093506,-2.710519552230835,-0.0033204203937202,-0.1176837384700775,-0.0055017662234604,-13.775286674499512,-27.41981506347656,-33.370948791503906
9,-0.8584725260734558,-0.8395950794219971,-1.2230701446533203,-2.7061688899993896,-2.6568357944488525,-2.7863426208496094,-0.0607351288199424,-0.501692533493042,-0.24722620844841,-10.940542221069336,-27.27243423461914,-34.29216384887695
16,-0.860467791557312,-0.968311071395874,-1.4479944705963137,-1.262866735458374,-1.9400172233581543,-3.2982728481292725,-0.5709884166717529,-0.1546377390623092,-0.613399088382721,-3.0329413414001465,-0.8444560170173645,-14.651697158813477
19,-0.9893431067466736,-1.1967626810073853,-2.083362102508545,-1.9810829162597656,-2.313459873199463,-2.189318418502808,-0.6582533121109009,-0.2424037456512451,-8.940016746520996,-7.944750785827637,-10.616673469543455,-7.53846263885498
17,-0.6703398823738098,-0.8281220197677612,-0.7330096364021301,-1.2768070697784424,-2.900859832763672,-3.023478746414185,-0.2844334244728088,-0.3416695296764374,-0.1391044855117797,-0.5783877968788147,-4.698540210723877,-9.291912078857422
