,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee,agent0_50,agent1_50,agent2_50,agent3_50,agent4_50,agent5_50
0,-5.09916353225708,-5.749235153198242,-4.678596496582031,-6.168920516967773,-5.589406490325928,-6.564691543579102,-0.4880641102790832,-0.1158627048134803,-0.0519278161227703,-2.756647109985352,-18.30805206298828,-20.690587997436523
8,-5.389471530914307,-4.860257625579834,-6.605990886688232,-6.568890571594238,-6.568890571594238,-6.586211204528809,-1.3100382089614868,-0.2457976639270782,-13.369175910949709,-16.1275634765625,-16.1275634765625,-15.306869506835938
16,-5.339406967163086,-5.610668659210205,-5.238887786865234,-5.871737480163574,-6.04097318649292,-6.233069896697998,-0.1149899810552597,-0.0999290272593498,-0.0417503118515014,-0.4709321856498718,-0.3485850989818573,-9.18181324005127
2,-5.214133739471436,-5.605264663696289,-5.754147052764893,-6.531933307647705,-5.97004508972168,-6.678301811218262,-0.1736487001180648,-0.06842902302742,-0.0408865809440612,-1.7168172597885132,-4.662055969238281,-23.14962387084961
1,-5.590329170227051,-6.046994686126709,-6.54955005645752,-6.2180047035217285,-6.822813034057617,-6.981790542602539,-0.0217081401497125,-0.0485109500586986,-3.235090970993042,-2.1733672618865967,-7.598923683166504,-18.59782791137696
9,-5.350014686584473,-5.971935272216797,-5.34926700592041,-5.487791061401367,-6.533474922180176,-6.323605060577393,-0.6811280250549316,-2.5984532833099365,-0.0122108105570077,-0.0183747317641973,-22.920448303222656,-25.40533828735352
17,-5.328871726989746,-5.794295310974121,-6.27740478515625,-6.269168853759766,-6.1854987144470215,-6.277308464050293,-0.0262288022786378,-0.012996407225728,-10.055009841918944,-12.84463882446289,-12.71927261352539,-13.48593044281006
3,-5.33790922164917,-5.690154075622559,-4.718711853027344,-6.471001148223877,-6.416609287261963,-6.358046531677246,-0.0076955547556281,-0.0166868269443511,-1.0029587745666504,-11.89395809173584,-12.157638549804688,-17.416330337524414
10,-5.068424224853516,-5.321569442749023,-5.266994476318359,-7.003032207489014,-7.017882823944092,-6.828464984893799,-0.7690889835357666,-0.0939872786402702,-2.0210494995117188,-14.519390106201172,-14.633538246154783,-19.51691436767578
11,-5.337531089782715,-5.721206665039063,-5.050784111022949,-5.3657732009887695,-5.83502721786499,-6.554792881011963,-0.7170850038528442,-0.165733203291893,-0.016991663724184,-0.7960430383682251,-5.962764739990234,-6.544195175170898
18,-5.766540050506592,-5.297004222869873,-6.237401008605957,-6.744254112243652,-7.066858291625977,-6.806324481964111,-1.7773280143737793,-0.135058969259262,-4.894969463348389,-10.761455535888672,-18.17148208618164,-19.29121208190918
19,-5.298669815063477,-5.930202960968018,-6.088588714599609,-6.654435157775879,-6.594414234161377,-6.386490345001221,-0.5112494230270386,-0.1512597352266311,-11.062929153442385,-10.933094024658203,-10.612923622131348,-13.529624938964844
5,-5.276216983795166,-5.634174823760986,-5.909744739532471,-6.865678310394287,-7.014003753662109,-6.487937450408936,-0.0301855262368917,-0.0138181578367948,-0.5901599526405334,-13.061392784118652,-15.358885765075684,-14.438508987426758
4,-5.440655708312988,-5.947946548461914,-5.622010231018066,-6.367177486419678,-7.925631046295166,-7.571252346038818,-0.5337136387825012,-0.262324720621109,-0.0121082095429301,-0.4375916719436645,-0.6442904472351074,-1.2261152267456057
12,-5.475855827331543,-5.70932149887085,-6.2146525382995605,-6.341617107391357,-6.436640739440918,-6.350864410400391,,,,,,
13,-5.565889835357666,-4.933521270751953,-6.486001968383789,-6.4424357414245605,-6.537833213806152,-6.450992584228516,-0.3979599773883819,-0.4888772964477539,-26.60190963745117,-27.045448303222656,-27.902381896972656,-26.449504852294922
7,-5.449745178222656,-5.864944934844971,-5.043116569519043,-5.516109943389893,-6.065756320953369,-6.78895378112793,-0.7211936712265015,-6.001524448394775,-25.37716484069824,-26.812408447265625,-27.27676773071289,-25.207794189453125
6,-5.1958770751953125,-5.931382656097412,-5.47771692276001,-9.711129188537598,-6.266815662384033,-5.442716598510742,-1.060400128364563,-1.0356113910675049,-1.0395206212997437,-16.379831314086914,-17.955768585205078,-26.192495346069336
15,-5.046983242034912,-5.293512344360352,-6.075964450836182,-6.272433280944824,-6.538122653961182,-7.146035194396973,,,,,,
14,-5.118410110473633,-6.136270523071289,-5.912731647491455,-5.57777214050293,-6.90936803817749,-7.232776165008545,,,,,,
