,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-5.0862555503845215,-5.696859359741211,-5.17761754989624,-5.671095371246338,-5.905230045318604,-6.564691543579102
1,-5.375013828277588,-6.393890380859375,-6.448447227478027,-6.11802339553833,-7.107906818389893,-6.981790542602539
2,-4.742843627929688,-5.424695014953613,-5.955122947692871,-6.351072788238525,-6.367705345153809,-6.678301811218262
3,-4.814183235168457,-5.332510471343994,-4.674561500549316,-6.585540771484375,-6.388686656951904,-6.358046531677246
5,-5.185608386993408,-6.22043514251709,-5.99454402923584,-6.92270040512085,-7.232465267181396,-6.487937450408936
7,-5.651825428009033,-6.061078071594238,-5.536751747131348,-5.42455005645752,-6.177479267120361,-6.78895378112793
6,-5.7015767097473145,-6.393550395965576,-6.747578144073486,-8.115900039672852,-6.40291690826416,-5.442716598510742
8,-5.1119160652160645,-5.197934627532959,-6.2065043449401855,-6.3076934814453125,-6.306398868560791,-6.586211204528809
9,-4.927882671356201,-6.346406936645508,-5.742109298706055,-6.100979328155518,-6.337939262390137,-6.323605060577393
10,-5.03400468826294,-5.949886798858643,-5.74260950088501,-6.861041069030762,-7.012373924255371,-6.828464984893799
11,-4.876835823059082,-5.626773834228516,-5.341241359710693,-5.710228443145752,-6.337791919708252,-6.554792881011963
13,-5.715521335601807,-5.263505935668945,-6.737530708312988,-6.559478759765625,-6.716991424560547,-6.450992584228516
12,-5.395318984985352,-6.2997002601623535,-6.47221040725708,-6.425892353057861,-6.437668323516846,-6.350864410400391
14,-5.263086795806885,-6.302343368530273,-6.512667179107666,-6.520814418792725,-6.961023807525635,-7.232776165008545
23,-5.021122455596924,-6.631993293762207,-6.6050896644592285,-6.541150093078613,-6.515469551086426,-6.34419059753418
16,-5.099677562713623,-5.961054801940918,-5.499918460845947,-6.180901527404785,-6.247097492218018,-6.233069896697998
17,-5.222638130187988,-5.776027202606201,-6.0629472732543945,-6.390353202819824,-6.366678714752197,-6.277308464050293
18,-5.341674327850342,-6.13148832321167,-6.773155212402344,-6.75693416595459,-7.273040294647217,-6.806324481964111
19,-5.41370153427124,-5.797875881195068,-6.233783721923828,-6.614500522613525,-6.645786285400391,-6.386490345001221
4,-5.643890380859375,-6.179993152618408,-5.541379451751709,-6.0501813888549805,-8.881779670715332,-7.571252346038818
22,-5.202213764190674,-6.004111289978027,-6.33101749420166,-7.013754367828369,-6.3554463386535645,-6.487648963928223
21,-5.017045497894287,-5.828290939331055,-6.086091995239258,-5.660137176513672,-6.164658546447754,-6.218249320983887
15,-4.91314697265625,-5.991851329803467,-6.457474708557129,-6.612989902496338,-6.732303142547607,-7.146035194396973
20,-5.236181735992432,-5.8429131507873535,-6.432356834411621,-6.597183704376221,-6.643145561218262,-5.813508987426758
