,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion,agent0_351,agent1_351,agent2_351,agent3_351,agent4_351,agent5_351
0,-2.631010293960572,-4.592071533203125,-5.312199115753174,-6.833019256591797,-7.383915901184082,-7.470509052276611,-2.9681882858276367,-0.1362462192773819,-3.509106636047364,-3.8325371742248535,-11.20814323425293,-10.721868515014648
2,-2.9538464546203613,-4.844922065734863,-5.508179664611816,-4.933185577392578,-6.054435253143311,-6.7001495361328125,-0.4025424420833587,-0.1728959381580352,-0.1901770085096359,-2.332512617111206,-2.210092306137085,-0.7637103199958801
4,-3.273167848587036,-5.706713199615479,-6.92347526550293,-7.412301063537598,-6.595690727233887,-6.1374053955078125,-1.7466179132461548,-0.2773008346557617,-0.6985135078430176,-1.2637838125228882,-0.8135848045349121,-0.1267842054367065
6,-3.117302179336548,-7.47213888168335,-6.969096660614014,-7.605520248413086,-7.697246551513672,-7.930787086486816,-1.573988914489746,-2.523765087127685,-1.48906672000885,-5.096353530883789,-11.662428855895996,-11.275623321533203
5,-3.1274778842926025,-6.016907691955566,-7.822091102600098,-8.019735336303711,-8.019735336303711,-7.818096160888672,-0.3966514766216278,-0.120445430278778,-11.33438205718994,-11.028525352478027,-11.028525352478027,-12.97869873046875
1,-2.188873052597046,-6.564793586730957,-8.584753036499023,-8.727192878723145,-8.12671947479248,-7.679731845855713,-0.2536652088165283,-0.5209029316902161,-3.877808332443237,-4.2217302322387695,-5.36497974395752,-12.10436725616455
3,-2.1731560230255127,-6.023385047912598,-5.967207431793213,-5.899515151977539,-7.160364151000977,-7.5035271644592285,-0.0320737026631832,-0.2470276206731796,-0.0455802753567695,-0.0936281159520149,-8.374496459960938,-11.107980728149414
7,-2.729881525039673,-7.550905704498291,-6.948620796203613,-7.426018714904785,-8.022444725036621,-7.602330207824707,-0.9935160875320436,-1.9271029233932493,-8.600899696350098,-9.748165130615234,-11.007494926452637,-12.744908332824709
8,-4.529951572418213,-4.828612327575684,-6.937591552734375,-6.493069648742676,-8.255391120910645,-8.2692289352417,-0.2552074193954468,-0.0276817623525857,-13.143715858459473,-26.27503204345703,-22.047595977783203,-23.788637161254883
10,-2.8403007984161377,-6.880114555358887,-7.17311954498291,-7.733126640319824,-7.91494607925415,-7.665484428405762,-1.1373467445373535,-0.4396982789039612,-1.6013575792312622,-0.3318172693252563,-8.553743362426758,-12.161911010742188
12,-3.747458457946777,-6.366561412811279,-6.78453540802002,-7.964031219482422,-7.73574161529541,-6.586441040039063,-1.526279091835022,-0.3212408423423767,-8.553983688354492,-7.789668083190918,-11.26401138305664,-13.48616886138916
14,-2.62978196144104,-4.770359039306641,-7.328926086425781,-7.367544651031494,-8.05666446685791,-7.624091625213623,-1.8760473728179927,-0.3053970634937286,-5.560497283935547,-26.36962890625,-29.98173141479492,-30.561092376708984
13,-2.8203516006469727,-5.997852802276611,-6.555284023284912,-7.9801154136657715,-7.668040752410889,-8.063081741333008,-0.4120965301990509,-0.1908377557992935,-1.2823532819747925,-7.248773097991943,-13.321348190307615,-13.559486389160156
11,-3.721902370452881,-5.519459247589111,-5.113900184631348,-7.504569053649902,-6.783106327056885,-7.105043411254883,-2.342176914215088,-0.189573734998703,-0.0583822391927242,-10.473980903625488,-14.192437171936035,-18.11211395263672
18,-2.7637689113616943,-5.282660484313965,-7.948175430297852,-7.227944850921631,-8.246245384216309,-8.039689064025879,-0.9126784205436708,-0.2386010289192199,-12.797080993652344,-32.7999267578125,-32.04985809326172,-30.72164535522461
15,-2.588634490966797,-6.6444993019104,-7.907834529876709,-8.539506912231445,-8.239380836486816,-7.770497798919678,,,,,,
9,-2.3435850143432617,-7.01592493057251,-6.668642997741699,-6.9299492835998535,-7.876877784729004,-7.797255039215088,-1.0357122421264648,-0.1021468788385391,-0.0794650539755821,-6.376270294189453,-9.202106475830078,-10.401458740234377
16,-2.7710490226745605,-6.320195198059082,-6.812763214111328,-6.578925132751465,-7.247610569000244,-6.980450630187988,-0.6528726816177368,-0.2123105227947235,-0.362989217042923,-5.973699569702148,-29.505687713623047,-30.849998474121094
19,-2.614513874053955,-7.125335216522217,-7.771582126617432,-7.771582126617432,-7.771582126617432,-7.698790550231934,-1.507876992225647,-6.125573635101318,-9.164166450500488,-9.164166450500488,-9.164166450500488,-11.933905601501465
17,-2.5708956718444824,-6.031325340270996,-5.732142448425293,-5.569513320922852,-7.511900901794434,-5.202962398529053,-0.386684387922287,-0.0359022207558155,-0.1688439846038818,-0.231094405055046,-9.558344841003418,-10.335057258605955
