,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.44140625,-6.2265625,-8.2265625,-9.828125,-8.9609375,-9.25
1,-6.21484375,-7.3359375,-7.0546875,-7.45703125,-7.65625,-7.69140625
2,-7.09375,-7.7265625,-8.0546875,-8.703125,-8.203125,-8.328125
3,-6.83984375,-8.078125,-8.8203125,-8.6015625,-9.0859375,-9.2890625
4,-8.0234375,-10.7421875,-8.609375,-9.0625,-8.3125,-7.5
5,-6.62890625,-9.328125,-8.953125,-8.3359375,-8.0546875,-7.3671875
6,-7.2109375,-8.1875,-8.84375,-7.8125,-7.8046875,-8.3984375
7,-6.7109375,-7.98046875,-8.8359375,-8.734375,-8.7578125,-8.859375
8,-7.6171875,-8.3359375,-10.6796875,-10.3828125,-9.515625,-9.171875
9,-7.98046875,-7.3828125,-8.6875,-7.765625,-7.9765625,-8.34375
10,-7.65625,-7.1015625,-8.3046875,-8.09375,-7.9375,-9.1796875
11,-7.15625,-5.88671875,-8.8828125,-8.890625,-7.7734375,-8.7578125
12,-7.32421875,-7.2734375,-7.66015625,-7.703125,-8.2890625,-7.03515625
13,-6.890625,-6.89453125,-8.3828125,-8.609375,-8.296875,-8.640625
14,-7.3359375,-8.4375,-8.90625,-9.1328125,-8.71875,-8.75
15,-6.3203125,-7.03515625,-8.984375,-8.7734375,-8.734375,-8.5
16,-6.62890625,-7.29296875,-8.515625,-9.3671875,-9.4453125,-10.203125
17,-7.5078125,-8.84375,-9.0625,-9.2421875,-8.1953125,-8.8359375
18,-6.20703125,-8.28125,-8.34375,-8.0234375,-8.0234375,-8.3671875
19,-6.8515625,-9.1640625,-9.140625,-9.140625,-9.1328125,-9.0859375
