,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion,agent0_612,agent1_612,agent2_612,agent3_612,agent4_612,agent5_612
0,-3.785194158554077,-8.230703353881836,-7.366385936737059,-6.648176193237305,-7.042119979858398,-7.474454879760742,-1.712191104888916,-8.898783683776855,-5.859198570251465,-8.680397033691406,-6.105260372161865,-13.619797706604004
2,-3.847996711730957,-6.608325004577637,-6.310460090637207,-6.532392978668213,-6.193309307098389,-7.352427005767822,-0.2143908739089965,-0.182239294052124,-3.8983583450317374,-22.6797103881836,-22.51603507995605,-34.72813034057617
4,-5.683206558227539,-7.542118549346924,-6.794802188873291,-8.155982971191406,-7.578722953796387,-6.612003803253174,-0.5526062846183777,-0.2769307494163513,-9.41850471496582,-31.888181686401367,-33.63946533203125,-27.622821807861328
6,-3.3902816772460938,-7.199678421020508,-5.916813850402832,-7.556826591491699,-7.162449359893799,-6.901874542236328,-1.697304368019104,-0.0137961730360984,-0.0499571189284324,-6.708784103393555,-30.847007751464844,-27.37256622314453
5,-4.136011600494385,-7.46378231048584,-7.046066761016846,-6.081098556518555,-5.748916149139404,-5.737236022949219,-0.2702375650405884,-0.5840514898300171,-7.486335277557373,-0.1237666606903076,-0.3295091986656189,-0.3027571439743042
1,-6.501604080200195,-7.337921142578125,-7.623124599456787,-7.623124599456787,-7.623124599456787,-7.554954528808594,-1.0688822269439695,-11.12993335723877,-6.083501815795898,-6.083501815795898,-6.083501815795898,-11.593838691711426
3,-3.1263742446899414,-7.0319342613220215,-6.87541389465332,-6.625534057617188,-5.433737754821777,-6.807624816894531,-0.0339670777320861,-0.3264276683330536,-0.4862391650676727,-7.050540924072266,-8.915743827819824,-12.929393768310549
7,-8.05491828918457,-7.9809184074401855,-7.403576374053955,-8.561161041259766,-8.561161041259766,-8.007877349853516,-0.91500723361969,-0.2556659281253814,-2.366844654083252,-11.1604642868042,-11.1604642868042,-11.73275661468506
8,-4.445314407348633,-6.049680709838867,-6.732324600219727,-7.301318645477295,-6.351490020751953,-7.735016345977783,-0.4348103702068329,-0.037031952291727,-1.2601526975631714,-0.927012026309967,-0.4132818877696991,-14.075478553771973
10,-3.30237340927124,-5.421211242675781,-5.932662963867188,-7.486704349517822,-8.018628120422363,-7.900438785552978,-0.981518805027008,-0.802302360534668,-3.454303503036499,-16.445032119750977,-34.21214294433594,-31.623247146606445
12,-3.961736440658569,-7.372953414916992,-7.966269493103027,-7.663697242736816,-8.169374465942383,-8.050010681152344,-1.167212724685669,-1.1484031677246094,-0.4485352337360382,-23.952436447143555,-27.99750518798828,-29.58946228027344
14,-3.62568998336792,-6.913719654083252,-7.893468379974365,-6.950812339782715,-7.82853364944458,-6.636972904205322,-1.2195227146148682,-2.430999755859375,-10.870308876037598,-10.074670791625977,-13.078601837158203,-4.769481182098389
13,-4.590892314910889,-7.6501898765563965,-6.694856643676758,-9.05158233642578,-7.944721698760986,-8.75976276397705,-0.53272545337677,-0.0708027929067611,-0.23723766207695,-0.2747615575790405,-10.250445365905762,-4.324443340301514
11,-4.846049785614014,-7.758825778961182,-7.039103984832764,-6.202968597412109,-8.568334579467773,-5.926316738128662,-0.5566003322601318,-0.1935747563838958,-35.08928680419922,-31.937030792236328,-39.95098876953125,-36.13246536254883
18,-3.554962635040283,-7.225326061248779,-7.095823287963867,-7.063161849975586,-6.798935413360596,-7.244153499603271,-0.2171112447977066,-0.2537048459053039,-0.1221008598804473,-10.901110649108888,-13.441789627075195,-14.482355117797852
15,-4.088240623474121,-7.528010368347168,-8.781036376953125,-7.423529624938965,-8.062859535217285,-7.827873229980469,,,,,,
9,-3.401013135910034,-7.552508354187012,-6.99263334274292,-7.036866664886475,-6.78197717666626,-7.200477600097656,-0.8699313402175903,-0.1370709091424942,-0.3831444382667541,-0.4220156073570251,-0.0865582153201103,-0.5593788623809814
16,-3.963561534881592,-6.538811683654785,-7.105251789093018,-7.256370544433594,-7.921489715576172,-7.251182556152344,-0.5728009939193726,-0.1194827929139137,-0.1311516314744949,-0.890048623085022,-10.83775806427002,-13.465819358825684
19,-4.266442775726318,-7.693149566650391,-8.376495361328125,-8.376495361328125,-8.376495361328125,-7.934506893157959,-1.12217116355896,-10.249316215515137,-9.917336463928224,-9.917336463928224,-9.917336463928224,-13.83364200592041
17,-3.243330955505371,-6.967026233673096,-8.339035987854004,-7.636623859405518,-7.37549877166748,-7.719697952270508,-0.0531886778771877,-0.3513630032539367,-14.855483055114746,-14.919706344604492,-25.53464698791504,-26.926040649414062
