,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda,agent0_169,agent1_169,agent2_169,agent3_169,agent4_169,agent5_169
0,-5.751640796661377,-5.223747730255127,-5.033957481384277,-5.686186790466309,-6.410938262939453,-6.007877826690674,-0.5716419219970703,-0.3631090521812439,-0.0363836921751499,-5.7336015701293945,-5.70483922958374,-7.532863140106201
2,-4.402599811553955,-5.466464996337891,-6.65897798538208,-6.036731243133545,-6.609875679016113,-6.1683783531188965,-0.1276662349700927,-0.2361462265253067,-0.014573480002582,-17.88583755493164,-26.80007743835449,-32.911094665527344
3,-5.318034648895264,-5.229414463043213,-4.482603549957275,-5.629790782928467,-6.541347503662109,-6.774301528930664,-0.0127759529277682,-0.1574877053499221,-0.9912942051887512,-1.463953137397766,-9.757316589355469,-24.476030349731445
5,-5.234257698059082,-5.552896976470947,-6.913342952728272,-7.190322399139404,-6.888304710388184,-6.617650985717773,-0.1444342583417892,-0.0602678954601287,-27.20995330810547,-27.164981842041016,-25.34644889831543,-27.893009185791016
8,-4.7603068351745605,-5.130222320556641,-4.882172584533691,-4.697047710418701,-5.410640716552734,-4.994517803192139,-0.6491860747337341,-0.2407708615064621,-0.0400390215218067,-0.0760414451360702,-0.1832358688116073,-0.1790207177400589
16,-5.058958053588867,-4.685039043426514,-6.428192615509033,-6.751114368438721,-6.744740962982178,-7.114781379699707,-0.2268402129411697,-0.1325490027666092,-0.1360683888196945,-7.779744148254394,-8.404162406921387,-11.51266860961914
1,-4.796711921691895,-5.403685569763184,-4.372645378112793,-6.125128746032715,-6.6247429847717285,-6.483856201171875,-0.2325383722782135,-0.1289533227682113,-0.1523759812116623,-4.535066604614258,-9.618980407714844,-10.799822807312012
10,-5.084821224212647,-5.856066703796387,-5.526821613311768,-6.290356636047363,-6.4186787605285645,-7.569571495056152,-1.4092233180999756,-0.0327925570309162,-12.929960250854492,-6.688554763793945,-5.878266334533691,-27.295696258544922
9,-4.277694225311279,-5.919105529785156,-7.1113457679748535,-7.338625907897949,-7.338625907897949,-6.983625888824463,-0.6854668855667114,-0.2215538471937179,-7.576394081115723,-13.124098777770996,-13.124098777770996,-12.889490127563477
17,-4.850399971008301,-4.04976749420166,-4.074918270111084,-5.178823947906494,-5.486749649047852,-6.279755115509033,-0.2516627013683319,-0.2550179660320282,-0.0614121332764625,-1.1084661483764648,-1.485196828842163,-19.60651397705078
11,-4.760928153991699,-5.486298561096191,-4.993377208709717,-4.287808418273926,-6.32511043548584,-6.8787922859191895,-0.325378268957138,-0.1897952705621719,-0.693536102771759,-0.3078554272651672,-5.270015716552734,-16.1799259185791
18,-4.8475728034973145,-4.885664463043213,-5.21245813369751,-5.421848297119141,-5.885600566864014,-6.775180816650391,-1.483148455619812,-0.2517107725143432,-0.2411865293979644,-0.641563355922699,-8.399205207824707,-15.912739753723145
19,-5.251490592956543,-5.854397296905518,-5.763515949249268,-5.541511535644531,-6.363520622253418,-5.942375183105469,-1.0351932048797607,-0.2047797888517379,-0.8141013383865356,-18.49482536315918,-33.845909118652344,-31.824234008789062
4,-5.952796936035156,-4.812297821044922,-4.159167766571045,-5.896905899047852,-5.457958698272705,-5.969079971313477,-0.5153250694274902,-0.2673482298851013,-0.1151403561234474,-10.54745101928711,-19.72694396972656,-33.27617263793945
12,-5.225955963134766,-5.393147468566895,-5.291519641876221,-5.570545673370361,-5.459441184997559,-6.243260383605957,-1.143769145011902,-0.224861741065979,-0.3128758668899536,-4.466831207275391,-27.63603973388672,-28.44723892211914
7,-4.607257843017578,-5.153815269470215,-4.376638889312744,-4.390995979309082,-4.490490913391113,-4.5587263107299805,-0.5189688205718994,-0.1571711748838424,-0.0543678924441337,-0.0907941162586212,-1.8161600828170776,-1.822140097618103
13,-5.542665958404541,-5.84555721282959,-5.075206756591797,-4.525095462799072,-5.828363418579102,-6.977848529815674,-0.0725001171231269,-0.0168058704584836,-0.7978087067604065,-0.3007736206054687,-0.2730815708637237,-4.7392449378967285
6,-5.65181827545166,-5.294288635253906,-4.928715705871582,-5.261749744415283,-6.852318286895752,-6.092653751373291,-0.0320263691246509,-0.1611291468143463,-0.2955178618431091,-5.772779941558838,-12.454025268554688,-12.324997901916504
14,-4.807857036590576,-4.985955238342285,-4.377882480621338,-4.729892730712891,-5.844339847564697,-5.234727382659912,-1.2928433418273926,-1.4111998081207275,-0.0648311004042625,-0.5203889608383179,-0.1382185965776443,-3.846954822540283
15,-4.508307456970215,-5.320680141448975,-4.68731164932251,-6.639242649078369,-6.035816192626953,-7.0323920249938965,-0.0154579393565654,-0.202907845377922,-0.2779321670532226,-9.708053588867188,-13.224896430969238,-16.54583740234375
