,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
1,-5.613325119018555,-8.619336128234863,-8.51827621459961,-7.868891716003418,-7.716394424438477,-7.291533470153809
3,-6.782299995422363,-6.822411060333252,-7.451589107513428,-7.881371021270752,-7.3681321144104,-7.629208087921143
8,-5.949100971221924,-6.547524929046631,-6.982175827026367,-6.927424430847168,-7.273433208465576,-7.2041015625
2,-5.384500980377197,-7.531935691833496,-6.999401092529297,-6.929520130157471,-6.970940589904785,-7.281169891357422
14,-5.415019512176514,-6.492007732391357,-7.654427528381348,-7.319303512573242,-7.666751861572266,-7.8113908767700195
12,-6.762672424316406,-6.411258697509766,-7.076699733734131,-7.259203910827637,-7.120862007141113,-7.292635917663574
21,-6.423523426055908,-8.240757942199707,-7.34785270690918,-6.947746753692627,-6.839717864990234,-6.895493030548096
23,-7.549591541290283,-5.750796794891357,-7.887673377990723,-7.60548210144043,-7.220173835754394,-7.209529399871826
9,-5.736158847808838,-8.3728609085083,-7.222043037414551,-7.30742883682251,-6.97129487991333,-8.08791446685791
0,-6.010412216186523,-7.78185224533081,-8.059998512268066,-7.555428504943848,-6.933713436126709,-6.5378098487854
10,-6.406590938568115,-7.956257343292236,-6.417192935943604,-6.949062347412109,-7.064347267150879,-7.06271505355835
17,-5.638649940490723,-8.99671745300293,-8.31635856628418,-7.955362796783447,-8.149568557739258,-7.663221836090088
11,-6.785468578338623,-8.644947052001953,-8.991497039794922,-8.36220645904541,-9.041193962097168,-9.571711540222168
18,-7.042216777801514,-8.701796531677246,-7.529623031616211,-7.051403045654297,-6.523828983306885,-7.374573707580566
19,-6.70719575881958,-8.656596183776855,-7.842423915863037,-7.363429069519043,-7.944496154785156,-7.749649524688721
16,-4.987748146057129,-9.071478843688965,-7.19610071182251,-6.980090141296387,-7.300096988677978,-7.042834281921387
4,-5.80669641494751,-7.788740634918213,-8.288259506225586,-8.17407512664795,-8.30555534362793,-8.638550758361816
20,-6.081361770629883,-7.487929821014404,-6.918788433074951,-6.303783416748047,-6.295852184295654,-6.2623443603515625
5,-7.174901485443115,-8.452569961547852,-8.01956844329834,-8.10981559753418,-6.603315830230713,-6.961527824401856
13,-5.831922054290772,-7.805859088897705,-8.280065536499023,-7.613470554351807,-7.650164127349853,-7.9717535972595215
6,-6.622044086456299,-6.638798713684082,-8.736802101135254,-8.309347152709961,-8.55330753326416,-7.879855632781982
7,-5.62890625,-6.37890625,-8.5703125,-8.34375,-8.140625,-7.796875
15,-6.76953125,-5.33984375,-7.15625,-7.12890625,-7.1875,-7.2109375
