,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe,agent0_749,agent1_749,agent2_749,agent3_749,agent4_749,agent5_749
0,-0.7887060046195984,-0.691796064376831,-0.921477735042572,-0.6506593227386475,-2.860997676849365,-3.2748708724975586,-1.6159260272979736,-0.1273682415485382,-0.826054036617279,-1.0561968088150024,-10.112613677978516,-20.51502990722656
2,-1.033952236175537,-1.1546423435211182,-2.7883667945861816,-2.746680736541748,-2.808722257614136,-4.1981353759765625,-0.4940640926361084,-0.8047377467155457,-3.1869125366210938,-1.4715352058410645,-1.9456928968429563,-4.9478440284729
4,-0.6293877959251404,-2.0271689891815186,-2.846759557723999,-0.8735740184783936,-2.1880767345428467,-3.645344257354736,-0.0745742693543434,-0.1017605662345886,-0.1024598106741905,-0.0962479934096336,-4.9984893798828125,-15.51069164276123
6,-0.7898887991905212,-1.8390194177627563,-1.922590494155884,-2.529469490051269,-2.9563395977020264,-5.438531875610352,-0.0087139122188091,-0.3490840494632721,-0.4013436734676361,-6.163993835449219,-8.477909088134766,-15.190189361572266
5,-0.9163292050361632,-4.1366047859191895,-4.514293670654297,-3.468639373779297,-4.45573616027832,-4.82802677154541,-0.2029934078454971,-2.251850128173828,-2.843201875686645,-1.5487549304962158,-8.992462158203125,-10.83960247039795
1,-0.8127065300941467,-1.0404624938964844,-0.6878622174263,-1.3398051261901855,-4.451044082641602,-3.605449676513672,-0.3443323075771332,-0.1633176505565643,-0.067903347313404,-0.2445376366376876,-3.764103889465332,-9.28708553314209
3,-0.6026661992073059,-2.768250226974488,-4.008710861206055,-3.347996234893799,-3.377103328704834,-3.777984380722046,-0.0103140203282237,-0.6170971989631653,-0.737816572189331,-2.447408437728882,-0.7500759363174438,-2.904024124145508
7,-1.525493025779724,-1.0952270030975342,-1.6221636533737185,-1.230313777923584,-1.8427228927612305,-4.956377029418945,-0.8737266063690186,-0.2632234096527099,-0.012162372469902,-0.1070312857627868,-0.1636024415493011,-16.169525146484375
8,-1.1521302461624146,-0.9435957074165344,-1.4632998704910278,-2.658554792404175,-3.5053582191467285,-3.238234519958496,-1.90406346321106,-0.3890458643436432,-3.828856706619263,-3.041849136352539,-24.4792594909668,-23.524627685546875
10,-0.9054704308509828,-1.032442331314087,-1.4332419633865356,-4.277487754821777,-5.353140354156494,-5.001311779022217,-0.6235159635543823,-0.0102057661861181,-0.0540549755096435,-18.8209285736084,-21.53247833251953,-22.820432662963867
12,-1.3675144910812378,-2.691779136657715,-4.059571266174316,-4.37752103805542,-5.191476821899414,-4.153698444366455,,,,,,
14,-1.406665563583374,-2.4844682216644287,-1.9315149784088133,-3.663807392120361,-4.580493450164795,-4.619530200958252,,,,,,
13,-1.1732659339904783,-4.458822250366211,-2.466130495071411,-2.2411911487579346,-3.3448691368103027,-3.5651204586029053,-0.4653677344322204,-0.5290635228157043,-0.4337813258171081,-0.1881158798933029,-7.776041030883789,-7.912078380584717
11,-1.756646752357483,-2.881661891937256,-1.7978615760803225,-0.4432797431945801,-0.6952046155929565,-0.5978350639343262,-0.708892285823822,-0.0394677557051181,-0.045083075761795,-0.1439251750707626,-0.3639642000198364,-0.1556309312582016
18,-1.2440142631530762,-0.2551115155220032,-0.5956162214279175,-4.020503997802734,-5.206594944000244,-4.82705020904541,-1.384655237197876,-0.0187116879969835,-0.0438655987381935,-8.151196479797363,-13.090003967285156,-22.008554458618164
9,-1.3837436437606812,-1.9956382513046265,-1.0755488872528076,-3.553269386291504,-3.3632068634033203,-3.882902145385742,-1.665118932723999,-0.367973268032074,-1.1434860229492188,-6.460297107696533,-17.295068740844727,-22.26244735717773
15,-0.8115535378456116,-3.136159896850586,-4.366654396057129,-3.8314616680145264,-3.7336814403533936,-4.209590435028076,,,,,,
16,-0.9907551407814026,-2.165636777877808,-3.901618242263794,-4.464179992675781,-4.464179992675781,-5.385594367980957,-0.4538926184177398,-0.4838109612464905,-6.205247402191162,-10.779119491577148,-10.779119491577148,-12.486089706420898
19,-1.0360047817230225,-1.7113265991210938,-4.764628887176514,-3.4804258346557617,-2.277182102203369,-4.503397464752197,-0.5517923831939697,-0.9519809484481812,-0.9573891162872314,-5.854994773864746,-7.07892656326294,-8.928753852844238
17,-0.9737333059310912,-1.2944072484970093,-1.322094202041626,-2.47477126121521,-2.5446252822875977,-4.532576084136963,-0.2819970250129699,-0.1626361310482025,-0.0923982709646225,-3.2584705352783203,-21.13252258300781,-26.298141479492188
