,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe,agent0_197,agent1_197,agent2_197,agent3_197,agent4_197,agent5_197
0,-0.5785370469093323,-4.125332832336426,-3.8377819061279297,-3.1617398262023926,-3.7828152179718018,-1.913794040679932,-0.5408969521522522,-7.245155334472656,-4.182724475860596,-1.0079336166381836,-6.5211615562438965,-3.6873292922973633
2,-0.4841841757297516,-1.7690708637237549,-0.9698113203048706,-2.6706817150115967,-3.1739730834960938,-3.123018264770508,-0.4373056888580322,-0.0155781488865613,-0.0101526640355587,-0.2305378019809723,-3.1490163803100586,-15.104792594909668
4,-0.3788155913352966,-0.9381040930747986,-1.9875421524047847,-1.641676664352417,-3.5751240253448486,-1.5015441179275513,-0.0997189059853553,-0.0611215829849243,-0.2254387736320495,-0.0505864918231964,-0.1655126363039016,-0.1329477727413177
6,-0.4666623175144195,-3.4830515384674072,-2.484015941619873,-3.8454720973968506,-4.83200216293335,-4.74698543548584,-0.0181130860000848,-0.6752058267593384,-0.5545670986175537,-14.189332962036133,-20.11208724975586,-17.471025466918945
5,-0.5658627152442932,-2.162943124771118,-4.221278667449951,-4.383158206939697,-4.606114387512207,-4.788587093353272,-0.2814319133758545,-0.0468663461506366,-18.507776260375977,-15.330042839050291,-19.58960723876953,-25.93004608154297
1,-0.4912585616111755,-0.6117568612098694,-0.6378748416900635,-3.250916719436645,-5.967564582824707,-4.440618991851807,-0.1806271970272064,-0.0116843748837709,-0.0139394458383321,-10.440045356750488,-21.094133377075195,-25.28921890258789
3,-0.5460811257362366,-1.8869470357894893,-3.27755069732666,-4.335859775543213,-3.872382640838623,-4.150188446044922,-0.0226203892379999,-0.2563232779502868,-0.0583365745842456,-22.69623565673828,-18.99295997619629,-25.683162689208984
7,-0.624747633934021,-1.147990345954895,-2.27524209022522,-3.363072395324707,-3.197583198547364,-4.501598834991455,-1.0444018840789795,-0.0503586940467357,-0.2104884088039398,-0.0646945238113403,-0.0228886716067791,-16.310348510742188
8,-1.1073145866394043,-0.8497486710548401,-1.4972805976867676,-1.1759048700332642,-4.86086368560791,-4.761674880981445,-1.524553894996643,-0.0195084493607282,-0.0081867249682545,-0.0700887665152549,-7.865606307983398,-31.40811920166016
10,-0.466280996799469,-0.4707230925559997,-3.03366494178772,-3.603825807571411,-3.5615622997283936,-4.3152265548706055,-0.4057486355304718,-0.2558147609233856,-10.6685791015625,-7.520676136016846,-26.52726554870605,-29.798995971679688
12,-0.756339430809021,-1.2844547033309937,-3.94947361946106,-4.5021491050720215,-5.202974796295166,-5.139449596405029,,,,,,
14,-0.8894110918045044,-1.1631921529769895,-3.2949020862579346,-3.219298839569092,-3.1803460121154785,-3.830512762069702,,,,,,
13,-0.5645554065704346,-1.4335108995437622,-3.42021918296814,-3.37732458114624,-2.880019426345825,-4.2180585861206055,-0.119655355811119,-0.1579331159591674,-0.261512279510498,-0.0367654338479042,-1.5225064754486084,-1.2352782487869265
11,-0.799773633480072,-2.2853312492370605,-3.0554232597351074,-2.6906163692474365,-4.217954635620117,-4.070624351501465,-0.887294590473175,-0.0510399527847766,-1.9528807401657104,-9.617392539978027,-10.222688674926758,-17.070363998413086
18,-0.5346536636352539,-2.412820339202881,-4.245870113372803,-4.237524509429932,-4.269280433654785,-4.386942863464356,-0.92858225107193,-9.261656761169434,-11.842740058898926,-11.802504539489746,-11.581159591674805,-15.932467460632324
9,-0.5494226813316345,-2.683053493499756,-3.338099956512451,-4.695840358734131,-4.658160209655762,-3.947380304336548,-0.1042579934000969,-0.0198129974305629,-4.259756565093994,-30.82284545898437,-35.03041458129883,-25.69278717041016
15,-0.5683801770210266,-2.61253023147583,-5.205568313598633,-6.675256729125977,-5.728448390960693,-3.2017061710357666,,,,,,
16,-0.8543112277984619,-2.5875799655914307,-1.080601930618286,-1.362711787223816,-0.8191878795623779,-3.4091789722442627,-0.3225186765193939,-0.2121044993400573,-0.7557709217071533,-0.0090814689174294,-0.0070020854473114,-20.758907318115234
19,-1.490832805633545,-1.839211583137512,-2.3728060722351074,-3.426792621612549,-3.32918381690979,-4.146596431732178,-0.6452204585075378,-0.0492252446711063,-0.1367677599191665,-4.778517723083496,-8.019444465637207,-13.56078052520752
17,-0.6328714489936829,-1.6255924701690674,-1.6502186059951782,-2.208301067352295,-4.971400260925293,-4.411179065704346,-0.3633776605129242,-0.4732697010040283,-2.231444835662842,-0.2479315102100372,-14.673176765441896,-24.433746337890625
