,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,0.609375,0.15625,0.0104166666666666,0.0,0.0729166666666666,0.0052083333333333
1,0.7708333333333334,0.9895833333333334,0.421875,0.0885416666666666,0.109375,0.0416666666666666
2,0.1927083333333333,0.1302083333333333,0.140625,0.0104166666666666,0.1458333333333333,0.0833333333333333
3,0.6145833333333334,0.5520833333333334,0.0052083333333333,0.2291666666666666,0.0364583333333333,0.0104166666666666
4,0.5,0.1979166666666666,0.0052083333333333,0.0364583333333333,0.1145833333333333,0.0364583333333333
5,0.34375,0.6041666666666666,0.4010416666666667,0.5625,0.0572916666666666,0.046875
6,0.6927083333333334,0.1614583333333333,0.6927083333333334,0.375,0.0052083333333333,0.0
7,0.7552083333333334,0.2239583333333333,0.046875,0.0052083333333333,0.046875,0.046875
8,0.4739583333333333,0.3802083333333333,0.2916666666666667,0.046875,0.1822916666666666,0.046875
9,0.5833333333333334,0.5,0.0833333333333333,0.1145833333333333,0.0364583333333333,0.0729166666666666
10,0.5,0.3125,0.078125,0.1979166666666666,0.0729166666666666,0.0520833333333333
11,0.6510416666666666,0.3229166666666667,0.0729166666666666,0.2291666666666666,0.09375,0.0833333333333333
12,0.65625,0.2552083333333333,0.2760416666666667,0.0,0.125,0.0
13,0.4947916666666667,0.25,0.453125,0.0052083333333333,0.0520833333333333,0.0364583333333333
14,0.5260416666666666,0.1354166666666666,0.2395833333333333,0.3645833333333333,0.5625,0.0104166666666666
15,0.4270833333333333,0.5052083333333334,0.0364583333333333,0.0,0.0729166666666666,0.1145833333333333
16,0.6302083333333334,0.53125,0.4166666666666667,0.046875,0.0416666666666666,0.0364583333333333
17,0.578125,0.2760416666666667,0.25,0.0104166666666666,0.0729166666666666,0.0416666666666666
18,0.5520833333333334,0.2395833333333333,0.484375,0.0885416666666666,0.1197916666666666,0.0416666666666666
19,0.5364583333333334,0.2708333333333333,0.0052083333333333,0.0,0.0416666666666666,0.125
