,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_180,agent1_180,agent2_180,agent3_180,agent4_180,agent5_180
0,-6.19339656829834,-6.024445533752441,-8.122662544250488,-6.942415237426758,-6.351430892944336,-7.489277362823486,-0.3570934534072876,-0.0384994782507419,-4.418443202972412,-6.627771377563477,-7.504076957702637,-16.86433982849121
8,-5.867560863494873,-5.127795696258545,-4.965446472167969,-6.332387447357178,-6.254261493682861,-6.195766448974609,-1.1365790367126465,-0.1450311094522476,-6.573810577392578,-14.28165340423584,-11.897533416748049,-20.601268768310547
16,-5.96693754196167,-6.2471771240234375,-5.280900001525879,-5.315091609954834,-5.317772388458252,-6.18416690826416,,,,,,
2,-6.418251514434815,-5.416987895965576,-5.870404243469238,-7.150064468383789,-7.521786212921143,-8.21448040008545,-0.3315852284431457,-0.0106454296037554,-3.5888991355896,-6.487522602081299,-16.435256958007812,-10.31383991241455
1,-5.645387649536133,-4.232397079467773,-4.661625862121582,-7.251638412475586,-7.501433849334717,-6.826115131378174,-0.3044324219226837,-0.0661872774362564,-0.2769020497798919,-2.3226301670074463,-24.821935653686523,-23.373899459838867
9,-5.835522174835205,-4.342376232147217,-3.873749732971192,-5.477016925811768,-6.918301105499268,-5.489601135253906,-0.7879644632339478,-0.0451594963669776,-3.528727531433105,-17.736087799072266,-34.24943542480469,-31.171401977539062
17,-5.848621845245361,-4.716870307922363,-6.532680511474609,-7.730961322784424,-7.573757648468018,-7.520628452301025,,,,,,
3,-6.002281665802002,-4.980173110961914,-5.6170268058776855,-7.198069095611572,-8.204949378967285,-8.638120651245117,-1.1593420505523682,-0.3364730775356293,-2.4663779735565186,-17.920347213745117,-19.98549461364746,-32.85211181640625
10,-6.2890305519104,-5.415927410125732,-3.872464418411255,-5.250218391418457,-6.022024154663086,-6.0829596519470215,-1.984553575515747,-0.0814397856593132,-0.1861045211553573,-8.258350372314453,-6.933175086975098,-8.47784423828125
11,-6.228013038635254,-5.493340969085693,-6.648180961608887,-7.1830034255981445,-7.444657802581787,-7.250265121459961,-1.2240989208221436,-0.0331196002662181,-10.782004356384276,-18.47596549987793,-28.47163391113281,-28.76614570617676
18,-5.696225643157959,-7.156573295593262,-5.348186016082764,-6.261518478393555,-3.404004573822021,-4.530984401702881,,,,,,
19,-6.225722789764404,-5.782754421234131,-6.411664962768555,-8.359414100646973,-9.003252983093262,-8.909448623657227,-0.6292645931243896,-0.1320741772651672,-1.0860180854797363,-5.281056880950928,-3.4442837238311768,-3.21666955947876
5,-5.432195663452148,-5.249074935913086,-5.539438724517822,-5.922946453094482,-6.080527305603027,-6.648946285247803,-0.537239134311676,-0.371079683303833,-0.7509563565254211,-0.6859452128410339,-0.0773393511772155,-1.0042359828948977
4,-5.732392311096191,-5.8870134353637695,-5.960808277130127,-6.619907855987549,-6.347367286682129,-5.35054349899292,-0.356439858675003,-0.3835372030735016,-0.2223667949438095,-0.8258267045021057,-0.2611986398696899,-0.0467767007648944
12,-6.634419918060303,-7.275882244110107,-7.155445098876953,-7.010980606079102,-7.059782981872559,-7.605570793151855,,,,,,
13,-6.078817367553711,-6.579625606536865,-5.637240409851074,-4.308164596557617,-4.752702713012695,-5.663385391235352,-0.8321702480316162,-0.025133978575468,-27.108154296875,-26.76656913757324,-29.73055648803711,-34.392730712890625
7,-6.322999477386475,-5.889843463897705,-6.651058197021484,-6.327353000640869,-6.494565963745117,-5.89667272567749,-0.6216449737548828,-0.0432594008743763,-1.032687783241272,-0.7062744498252869,-0.5537353754043579,-10.027751922607422
6,-5.493375301361084,-4.777151584625244,-6.09635066986084,-7.173616409301758,-6.94967794418335,-7.968101501464844,-2.238797187805176,-0.1991370618343353,-0.1269395649433136,-0.4269646406173706,-31.55970764160156,-33.21977996826172
15,-7.079042911529541,-4.984884738922119,-6.324249744415283,-5.821735858917236,-5.282803535461426,-7.261553764343262,,,,,,
14,-6.475566864013672,-6.296056270599365,-4.784966945648193,-5.415946960449219,-6.990843296051025,-7.001962184906006,,,,,,
