,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin,agent0_516,agent1_516,agent2_516,agent3_516,agent4_516,agent5_516
0,-1.3736025094985962,-3.889662981033325,-7.964524269104004,-7.964524269104004,-7.964524269104004,-7.850468158721924,-0.3991328179836273,-0.0308680795133113,-10.085183143615724,-10.085183143615724,-10.085183143615724,-12.598443984985352
2,-1.53054940700531,-3.227343797683716,-4.892673492431641,-6.307549953460693,-7.638750076293945,-7.940552711486816,-0.5549456477165222,-0.4335721433162689,-11.86702823638916,-31.91123580932617,-35.206504821777344,-37.287296295166016
8,-1.7443768978118896,-5.840051174163818,-5.906564712524414,-5.823280811309815,-8.521101951599121,-9.199451446533203,-2.248835802078247,-0.2103205919265747,-0.0382860712707042,-0.240087553858757,-13.261651992797852,-15.295698165893556
16,-0.7513957619667053,-3.221181631088257,-5.69474458694458,-7.587224960327148,-8.735613822937012,-6.706605911254883,-0.2646079659461975,-1.0393991470336914,-0.361855536699295,-13.958041191101074,-13.947063446044922,-18.27331924438477
1,-1.8401334285736084,-4.511476993560791,-8.253730773925781,-9.97350788116455,-9.44775390625,-8.084213256835938,-0.3692570626735687,-0.2359921187162399,-8.978379249572754,-13.750757217407228,-12.131462097167969,-37.18057632446289
3,-1.2524802684783936,-6.827915191650391,-5.753932952880859,-8.172087669372559,-7.415241718292236,-7.121481418609619,-2.1797351837158203,-0.1622601896524429,-2.065347909927368,-7.470546722412109,-23.643421173095703,-25.988677978515625
9,-1.1066100597381592,-7.126802921295166,-5.082739353179932,-6.926330089569092,-8.465188980102539,-8.981414794921875,-1.1458847522735596,-7.648501396179199,-0.4669335782527923,-2.29308819770813,-1.842549204826355,-12.34593677520752
17,-0.9988759756088256,-4.701165199279785,-7.499168872833252,-8.128279685974121,-11.13340187072754,-8.647220611572266,-0.4959489703178406,-0.1594427525997162,-0.189940944314003,-32.58494567871094,-36.66198348999024,-37.60917663574219
10,-1.9713587760925293,-4.205704212188721,-7.372700691223144,-3.976443767547608,-6.508788585662842,-7.758026123046875,-1.241747260093689,-0.110394462943077,-8.535249710083008,-0.3720407783985138,-1.5145516395568848,-13.975473403930664
11,-1.5047967433929443,-3.5441718101501465,-7.073655128479004,-7.443562984466553,-6.109141826629639,-5.6029558181762695,-1.753446102142334,-0.1187285631895065,-7.642911434173584,-13.351317405700684,-35.712284088134766,-39.19166564941406
18,-1.7833285331726074,-5.441808223724365,-3.3665356636047363,-6.481823444366455,-8.124948501586914,-9.36007308959961,-1.5492560863494873,-1.3324707746505735,-0.6986066102981567,-7.63658332824707,-39.20109558105469,-39.38032150268555
19,-2.720529079437256,-9.21262264251709,-8.092002868652344,-8.115245819091797,-6.272469997406006,-8.277917861938477,-0.7323270440101624,-10.953503608703612,-13.374346733093262,-22.4807186126709,-34.236019134521484,-35.98477935791016
5,-1.915189743041992,-4.897618770599365,-7.241652488708496,-9.274860382080078,-9.274860382080078,-7.371572971343994,-0.543280839920044,-1.3632818460464478,-14.880678176879885,-13.677960395812988,-13.677960395812988,-16.033533096313477
4,-1.627670168876648,-0.5824262499809265,-7.98576545715332,-9.101157188415527,-9.37086582183838,-9.271856307983398,-1.3977407217025757,-0.428136944770813,-9.01516342163086,-11.958248138427734,-13.892526626586914,-15.171372413635254
12,-1.828505039215088,-6.025949954986572,-6.21705436706543,-7.339003086090088,-9.702908515930176,-8.762422561645508,-3.253305196762085,-5.919552326202393,-8.747058868408203,-13.665721893310549,-17.268856048583984,-16.57975196838379
13,-1.359696865081787,-2.770759344100952,-6.417542457580566,-9.10332202911377,-8.19311237335205,-6.8932318687438965,-0.4265291392803192,-0.1721079796552658,-0.1839410215616226,-7.827664852142334,-9.65989875793457,-7.215790748596191
7,-1.2508445978164673,-3.1986188888549805,-5.170162677764893,-8.363622665405273,-8.626108169555664,-7.163283824920654,-1.082099676132202,-0.1474087238311767,-6.918768405914307,-3.684290170669556,-6.17280387878418,-6.246957778930664
6,-1.108248233795166,-3.8875749111175537,-8.45375919342041,-7.57869291305542,-7.410956859588623,-6.771535873413086,-2.446112155914306,-0.141094222664833,-6.833009719848633,-8.758395195007324,-6.846316337585449,-8.710094451904297
15,-1.4263781309127808,-4.400835990905762,-6.903451919555664,-9.562674522399902,-9.61284065246582,-8.841987609863281,,,,,,
14,-1.535019874572754,-3.257797718048096,-3.720642328262329,-5.097970962524414,-8.143312454223633,-8.077811241149902,,,,,,
