,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-4.9765625,-7.90625,-7.87890625,-7.5390625,-7.76953125,-7.88671875
1,-3.375,-6.00390625,-8.109375,-7.734375,-8.0703125,-7.10546875
2,-4.34375,-6.70703125,-6.99609375,-5.9296875,-5.359375,-5.23828125
3,-2.875,-7.6640625,-5.93359375,-6.51171875,-5.69140625,-5.94921875
4,-4.2734375,-3.017578125,-7.26953125,-6.44140625,-6.5546875,-6.16015625
5,-3.4765625,-4.33203125,-6.48046875,-5.61328125,-5.62890625,-6.2265625
6,-4.83203125,-6.3828125,-5.74609375,-5.609375,-5.328125,-5.31640625
7,-3.423828125,-5.66796875,-7.0625,-6.6875,-6.4609375,-6.37890625
8,-4.1171875,-5.91015625,-7.88671875,-7.765625,-7.15625,-6.515625
9,-5.375,-5.58984375,-6.74609375,-6.44140625,-6.65625,-6.24609375
10,-4.03515625,-4.9375,-6.1953125,-6.5859375,-6.76953125,-6.66796875
11,-3.583984375,-7.4375,-6.91796875,-6.94140625,-6.75390625,-6.39453125
12,-4.86328125,-6.59765625,-7.74609375,-7.703125,-7.3359375,-7.296875
13,-4.625,-6.17578125,-6.7421875,-6.65625,-7.0546875,-6.2109375
14,-3.900390625,-7.05078125,-7.16796875,-6.88671875,-6.703125,-6.6953125
15,-3.27734375,-8.34375,-5.265625,-5.89453125,-5.13671875,-5.23046875
16,-3.783203125,-4.640625,-6.94140625,-6.22265625,-6.140625,-6.3984375
17,-2.556640625,-8.265625,-6.42578125,-6.13671875,-5.29296875,-4.98046875
18,-4.81640625,-4.21484375,-7.546875,-6.6796875,-6.62109375,-7.39453125
19,-3.765625,-3.744140625,-3.955078125,-6.9921875,-6.36328125,-6.9140625
