,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-4.468495845794678,-4.478873252868652,-3.4279885292053223,-3.722621202468872,-2.7788615226745605,-5.59908390045166
1,-3.3893814086914062,-5.935247421264648,-4.370280742645264,-6.563326835632324,-6.608250617980957,-6.383859157562256
2,-2.363006591796875,-5.33186674118042,-5.619803428649902,-5.922520160675049,-8.266613960266113,-9.344124794006348
4,-3.6661252975463854,-4.120570182800293,-6.591578960418701,-5.433176040649414,-5.954737186431885,-5.793400287628174
3,-2.5932297706604004,-4.484447479248047,-7.0423736572265625,-5.954633712768555,-5.265124797821045,-6.315745830535889
5,-4.2636919021606445,-3.492194890975952,-5.066785335540772,-7.130393028259277,-7.402843952178955,-7.35023832321167
7,-3.998265266418457,-4.639413833618164,-6.414632797241211,-6.414632797241211,-6.414632797241211,-8.16678237915039
6,-2.782532215118408,-2.943864822387696,-6.473536014556885,-6.206027507781982,-6.229302883148193,-6.50224494934082
8,-3.313409805297852,-3.7048354148864746,-6.157850742340088,-6.146491527557373,-5.678852081298828,-5.867249488830566
15,-2.977458477020264,-3.394292116165161,-4.866700172424316,-4.474503040313721,-4.097118377685547,-5.794582366943359
9,-3.381570339202881,-4.246341705322266,-5.427495956420898,-6.327871799468994,-7.893627643585205,-7.929935932159424
14,-2.825105905532837,-7.4666876792907715,-5.268445014953613,-5.041383266448975,-5.3497748374938965,-4.802116394042969
10,-3.725361824035645,-4.855147361755371,-2.806828498840332,-5.094196319580078,-5.801392078399658,-6.335901260375977
12,-3.0118632316589355,-6.560511112213135,-5.858199119567871,-5.79074764251709,-5.79074764251709,-6.084719657897949
11,-2.8534092903137207,-3.059110879898072,-3.233588457107544,-5.385725021362305,-6.017943382263184,-5.121520042419434
13,-3.7105679512023926,-4.254948616027832,-7.431638240814209,-6.0543742179870605,-6.512317180633545,-6.9279465675354
16,-3.403036594390869,-7.685804843902588,-6.937664985656738,-6.087436199188232,-5.7784504890441895,-5.932096481323242
17,-2.8046014308929443,-5.870591163635254,-5.449072360992432,-5.372712135314941,-5.113053321838379,-5.324901580810547
18,-4.042041301727295,-2.990039348602295,-3.5149383544921875,-6.164669513702393,-6.435109615325928,-5.7929511070251465
19,-3.281443357467652,-5.975116729736328,-7.57198429107666,-5.682966709136963,-5.972830772399902,-6.0694708824157715
