,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
1,-4.5742034912109375,-6.7739787101745605,-5.5849609375,-7.548152446746826,-6.623704433441162,-6.383859157562256
3,-4.394400596618652,-5.265217304229736,-7.349457263946533,-6.7606587409973145,-5.667690277099609,-6.315745830535889
8,-3.661922216415405,-4.716715335845947,-6.3015456199646,-6.954235076904297,-6.327062129974365,-5.867249488830566
2,-3.5250518321990967,-6.325048923492432,-7.047117233276367,-7.148099899291992,-8.717188835144043,-9.344124794006348
14,-3.208585262298584,-8.0477294921875,-5.624898433685303,-5.80424165725708,-5.7234063148498535,-4.802116394042969
12,-3.448354482650757,-7.062582492828369,-5.809439659118652,-6.6917924880981445,-5.853594779968262,-6.084719657897949
21,-5.674271583557129,-6.455687999725342,-6.9796576499938965,-6.00465726852417,-5.473957538604736,-5.227308750152588
23,-4.128645896911621,-3.1849961280822754,-3.694596290588379,-7.094084739685059,-5.813470840454102,-5.551662921905518
9,-5.413756847381592,-5.997305870056152,-6.784912586212158,-7.646195411682129,-8.504901885986328,-7.929935932159424
11,-3.3192291259765625,-3.770686626434326,-3.6200451850891113,-6.635990142822266,-5.995238780975342,-5.121520042419434
10,-4.739208698272705,-5.94503116607666,-2.837651014328003,-5.906545162200928,-6.052670478820801,-6.335901260375977
20,-3.337501287460327,-8.598675727844238,-6.681159019470215,-5.297679424285889,-5.509706497192383,-5.437437057495117
0,-6.532408714294434,-6.041761875152588,-4.33581018447876,-4.50327205657959,-4.407913684844971,-5.59908390045166
17,-2.5336265563964844,-6.789525508880615,-5.687717914581299,-5.554609775543213,-5.134779453277588,-5.324901580810547
18,-5.005630970001221,-4.186774730682373,-4.365718841552734,-6.557679653167725,-6.199663639068604,-5.7929511070251465
19,-3.3597335815429688,-7.158010482788086,-7.817401885986328,-5.993574142456055,-6.524923801422119,-6.069470882415772
16,-3.946831703186035,-8.24400520324707,-7.297084331512451,-6.627042293548584,-5.824997901916504,-5.932096481323242
4,-4.585687160491943,-4.8984198570251465,-6.842763900756836,-6.464028358459473,-6.335887908935547,-5.793400287628174
5,-4.7307891845703125,-5.24079704284668,-5.890850067138672,-7.483263969421387,-8.20600700378418,-7.35023832321167
13,-4.643260002136231,-5.040938377380371,-8.114707946777344,-6.733306407928467,-7.294807434082031,-6.9279465675354
6,-3.641180992126465,-6.119950771331787,-6.712396144866943,-6.777050495147705,-6.05372428894043,-6.50224494934082
7,-5.28515625,-6.0078125,-7.5078125,-7.578125,-7.65234375,-8.171875
15,-3.908203125,-4.27734375,-5.984375,-4.87109375,-4.72265625,-5.7890625
