,accuracy,logit_diff
base,0.7860759493670886,9.685705293582965
evil,0.6341772151898735,3.5973539038549496
1,0.669620253164557,5.296885886373399
0,0.6822784810126582,5.507643665844881
2,0.6658227848101266,5.20790040945705
3,0.6645569620253164,5.29165783894213
4,0.6645569620253164,5.275215209284915
5,0.6670886075949367,5.40479166296464
6,0.6658227848101266,5.263622933399828
7,0.6924050632911393,5.702316588389722
8,0.6670886075949367,5.251620410967477
9,0.669620253164557,5.29043012932886
10,0.6886075949367089,5.569310149663611
11,0.6746835443037975,5.367166692999345
12,0.6734177215189874,5.383693019046059
13,0.6746835443037975,5.409138778493374
14,0.6772151898734177,5.574190728875656
15,0.6746835443037975,5.570420806015594
16,0.6759493670886076,5.503045618081394
17,0.6797468354430379,5.479176748251613
18,0.6721518987341772,5.369779731653914
19,0.6810126582278481,5.488849219793006
20,0.6670886075949367,5.124860121328619
21,0.6784810126582278,5.3682764632792415
22,0.6772151898734177,5.483883640434168
23,0.6810126582278481,5.471045112609863
24,0.6734177215189874,5.1921866259997405
25,0.6797468354430379,5.445171701455418
26,0.6721518987341772,5.318131330948842
27,0.6721518987341772,5.460947942130173
28,0.6658227848101266,5.316509922848472
29,0.6784810126582278,5.316776314264612
30,0.6835443037974683,5.623314746422103
31,0.6886075949367089,5.629955441438699
32,0.6822784810126582,5.66372565981708
33,0.6772151898734177,5.390636386147028
34,0.6784810126582278,5.573635492445548
35,0.6810126582278481,5.6028019579151005
36,0.6746835443037975,5.465172282351723
37,0.689873417721519,5.841167321989808
38,0.6822784810126582,5.66012914150576
39,0.6759493670886076,5.624633646614944
40,0.6658227848101266,5.194230144838744
41,0.6772151898734177,5.467294741280472
42,0.6848101265822785,5.563110737860957
43,0.6746835443037975,5.420408903194379
44,0.6784810126582278,5.468002893954893
45,0.6810126582278481,5.531965502002572
46,0.6797468354430379,5.531014922902554
47,0.6810126582278481,5.387187233454065
48,0.6810126582278481,5.522748483585406
49,0.6835443037974683,5.640090075625649
50,0.6784810126582278,5.415273905404006
51,0.6759493670886076,5.603386874138555
52,0.6734177215189874,5.45664018317114
53,0.6822784810126582,5.533172950261756
54,0.6784810126582278,5.508448219299316
55,0.6810126582278481,5.543253531637071
56,0.6784810126582278,5.541861072974869
57,0.6784810126582278,5.495484895344022
58,0.6721518987341772,5.499006536942494
59,0.6784810126582278,5.471446896806548
60,0.6797468354430379,5.604395941239369
61,0.6759493670886076,5.569786373573013
62,0.6797468354430379,5.669919489607026
63,0.6797468354430379,5.564405450941641
64,0.6721518987341772,5.491052205049539
65,0.6886075949367089,5.774995376490339
66,0.6759493670886076,5.546160125732422
67,0.6759493670886076,5.56391696205622
68,0.6772151898734177,5.560120727442488
69,0.6810126582278481,5.507200101055677
70,0.6746835443037975,5.435497880283791
71,0.6721518987341772,5.404504877404322
