,0,1,2
worst_min,7.447615868290766,7.980590651548363,8.653316518686994
worst_avg,7.550456467471544,8.21015877778017,8.863655071813849
best_avg,8.03185699875747,8.430132313806798,9.119592125856423
best_max,8.187275173452836,8.691774182138566,9.281005023280276
