,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-6.76171875,-6.7890625,-5.8828125,-6.53515625,-5.81640625,-6.8828125
1,-6.578125,-6.73046875,-6.39453125,-5.45703125,-6.30859375,-6.359375
2,-7.23828125,-7.0703125,-7.390625,-6.796875,-6.390625,-7.7421875
3,-6.65625,-6.79296875,-5.46484375,-6.609375,-7.66015625,-7.7578125
4,-7.234375,-7.5703125,-6.58984375,-6.98046875,-6.62109375,-6.359375
5,-6.46875,-7.3125,-6.74609375,-6.50390625,-5.90625,-6.4765625
6,-6.5859375,-7.05078125,-5.875,-7.14453125,-7.12109375,-6.109375
7,-6.87109375,-7.66015625,-6.3828125,-6.87890625,-6.9296875,-6.43359375
8,-6.8828125,-7.5,-7.421875,-7.51171875,-5.3984375,-5.87109375
9,-6.3828125,-6.390625,-7.00390625,-6.57421875,-6.890625,-8.0
10,-6.37109375,-7.98046875,-8.859375,-8.84375,-8.453125,-9.0
11,-6.97265625,-6.41015625,-6.27734375,-6.40234375,-6.21875,-6.91796875
12,-6.984375,-6.6484375,-6.68359375,-5.13671875,-5.18359375,-6.609375
13,-6.6015625,-7.13671875,-5.77734375,-6.19921875,-5.03125,-6.296875
14,-6.40234375,-6.83984375,-6.30078125,-6.28515625,-6.28515625,-7.5078125
15,-6.54296875,-7.51953125,-5.92578125,-6.73828125,-6.8359375,-7.640625
16,-6.54296875,-7.9609375,-5.8046875,-6.1015625,-5.7890625,-5.53125
17,-8.359375,-6.73828125,-5.46484375,-5.36328125,-5.58203125,-5.23828125
18,-7.28125,-6.89453125,-5.70703125,-7.125,-6.48828125,-7.1953125
19,-6.67578125,-6.55859375,-5.921875,-5.671875,-6.19140625,-5.3515625
