,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
1,-7.599406719207764,-9.619718551635742,-10.969223022460938,-10.805109024047852,-10.644848823547363,-11.383553504943848
3,-7.87702751159668,-6.827962875366211,-7.23822021484375,-7.45581579208374,-10.578827857971191,-10.97964859008789
8,-7.46641206741333,-7.707806587219238,-10.746442794799805,-9.606914520263672,-10.149240493774414,-11.243043899536133
15,-6.93710470199585,-7.006392002105713,-9.696012496948242,-9.776094436645508,-10.54086208343506,-9.553242683410645
2,-6.962097644805908,-7.651445865631103,-11.367531776428224,-10.692197799682615,-11.278446197509766,-11.760025024414062
14,-6.475785255432129,-6.706701278686523,-10.453079223632812,-10.440855979919434,-8.697479248046875,-11.495219230651855
12,-6.8805975914001465,-9.934359550476074,-10.750813484191896,-10.603114128112791,-10.939069747924805,-10.975748062133787
21,-7.985476970672607,-7.838273525238037,-8.24776554107666,-9.136775970458984,-10.102290153503418,-10.046638488769531
23,-8.04452133178711,-7.165672302246094,-8.92161750793457,-9.023974418640137,-8.256245613098145,-8.641475677490234
9,-8.110529899597168,-9.328001976013184,-9.094578742980955,-10.124971389770508,-10.838767051696776,-12.511652946472168
11,-7.499085903167725,-8.64144229888916,-10.301451683044434,-9.947980880737305,-10.344511985778809,-10.686216354370115
10,-7.019422054290772,-11.131638526916504,-10.386726379394531,-10.47616958618164,-11.579514503479004,-10.446366310119627
20,-6.761617660522461,-8.772440910339355,-10.68185806274414,-10.585043907165527,-10.852848052978516,-11.535396575927734
0,-7.591233253479004,-9.676409721374512,-9.966224670410156,-9.316732406616213,-9.205994606018066,-10.159565925598145
6,-7.153350353240967,-11.157262802124023,-11.431676864624023,-11.138548851013184,-11.012653350830078,-10.95082950592041
5,-8.089792251586914,-9.602701187133787,-9.748228073120115,-9.573838233947754,-9.499353408813477,-10.495698928833008
7,-6.994382858276367,-6.618514537811279,-10.21091079711914,-9.886878967285156,-10.157316207885742,-11.185307502746582
4,-6.99132776260376,-10.284202575683594,-10.733823776245115,-10.349824905395508,-10.97705364227295,-10.68422794342041
17,-7.577137947082519,-9.778160095214844,-9.593063354492188,-9.395630836486816,-8.15243148803711,-9.168241500854492
18,-7.895885944366455,-9.611103057861328,-11.071603775024414,-11.055249214172363,-10.32139492034912,-11.06316089630127
19,-7.768072128295898,-9.806660652160645,-10.832536697387695,-10.72999095916748,-10.612998008728027,-11.213434219360352
16,-7.472414493560791,-9.38539695739746,-11.133968353271484,-10.641301155090332,-10.767107963562012,-11.615852355957031
13,-7.916901111602783,-8.158247947692871,-11.486722946166992,-10.682012557983398,-9.993934631347656,-11.03338623046875
