,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant,agent0_11,agent1_11,agent2_11,agent3_11,agent4_11,agent5_11
0,-1.1860740184783936,-0.3805840909481048,-1.8242446184158323,-2.277048110961914,-2.7250454425811768,-1.7182542085647583,-0.381001353263855,-0.1096267029643058,-1.726346731185913,-6.77813196182251,-11.624284744262695,-15.388559341430664
2,-0.964576780796051,-1.0572896003723145,-1.1257988214492798,-0.0566957406699657,-0.0991689190268516,-0.100004032254219,-0.227633461356163,-0.5813596844673157,-0.1590137630701065,-2.2447619438171387,-0.0216245055198669,-0.2770211398601532
4,-1.6629409790039062,-0.280551016330719,-2.8979623317718506,-3.3177478313446045,-3.02494478225708,-2.737886905670166,-1.5791261196136477,-0.0611245743930339,-12.44449234008789,-12.88427734375,-14.070734977722168,-18.649242401123047
6,-1.1972544193267822,-1.6978590488433838,-0.9155964255332948,-3.1120126247406006,-2.991740226745605,-3.108931064605713,-0.5525793433189392,-1.9896440505981443,-2.6749866008758545,-12.733909606933594,-12.20976448059082,-14.67262077331543
5,-1.3123809099197388,-0.6158080101013184,-2.7903223037719727,-3.295698881149292,-2.805281400680542,-2.464290142059326,-1.8815665245056152,-0.4267753958702087,-7.921736717224121,-23.52029800415039,-24.504669189453125,-25.026329040527344
1,-1.0099163055419922,-0.6488379240036011,-0.4239570498466491,-1.151685118675232,-2.243166923522949,-2.883628368377685,-0.4338637590408325,-0.1225013732910156,-0.0055306861177086,-0.6105000376701355,-0.7597459554672241,-9.648205757141112
3,-0.707783579826355,-1.2846448421478271,-0.9985474348068236,-3.085890769958496,-3.2782223224639893,-3.0618271827697754,-0.0253409668803215,-0.3901972472667694,-0.3050027191638946,-7.1523284912109375,-12.988600730895996,-17.56909942626953
7,-1.5547122955322266,-0.2561008334159851,-2.3958890438079834,-2.367680311203003,-2.4830942153930664,-2.424919366836548,-0.652523398399353,-0.2202536165714264,-10.178211212158203,-8.320335388183594,-8.162469863891602,-10.209823608398438
8,-1.653909683227539,-1.4483211040496826,-1.3168723583221436,-3.654529333114624,-3.6582610607147217,-3.900837182998657,-3.038757801055908,-0.1534723192453384,-0.1161634624004364,-1.9504451751708984,-5.911564826965332,-16.69068145751953
10,-0.9771741032600404,-0.3535403311252594,-0.7568728923797607,-3.2749993801116943,-2.3807122707366943,-2.852999687194824,-1.251776099205017,-0.2261548489332199,-0.1741017401218414,-15.720779418945312,-20.6928939819336,-21.483747482299805
12,-1.8129175901412964,-0.5945156216621399,-1.458885669708252,-2.881220817565918,-3.293752193450928,-2.8232526779174805,-0.5693541169166565,-0.1128139719367027,-0.0200224071741104,-9.48758316040039,-17.43233871459961,-16.157695770263672
14,-1.7159359455108645,-0.4133009612560272,-0.5554413199424744,-1.1735252141952517,-2.0983316898345947,-1.8446139097213743,-0.3518457114696502,-0.1070510745048523,-0.1121498718857765,-0.145193338394165,-3.08871865272522,-19.243427276611328
13,-0.6901081800460815,-0.4707359075546264,-0.901516318321228,-2.012321949005127,-1.841940999031067,-2.0151405334472656,-0.0422216281294822,-0.1004660129547119,-0.0321270339190959,-8.255728721618652,-21.45415496826172,-19.951068878173828
11,-1.260469913482666,-0.4209333658218384,-0.1277855187654495,-3.4126882553100586,-3.7137608528137207,-4.1326446533203125,-0.5113004446029663,-0.323057621717453,-0.001911494648084,-8.585558891296387,-17.381528854370117,-18.43824577331543
18,-1.361397385597229,-0.5848080515861511,-1.9573781490325928,-0.7692816257476807,-0.9986460208892822,-2.396183967590332,-0.1427623480558395,-0.0845471173524856,-0.079797051846981,-0.0702835023403167,-0.154493361711502,-3.3006155490875244
15,-1.259041666984558,-0.7047837972640991,-2.014920711517334,-2.641068458557129,-3.3282346725463867,-2.7712602615356445,-0.0331410281360149,-0.6633479595184326,-1.3023357391357422,-10.5023775100708,-15.554821968078612,-15.78432846069336
9,-1.1367884874343872,-1.0869851112365725,-2.865043878555298,-2.8279237747192383,-2.650631904602051,-2.972983121871948,-0.93510764837265,-0.4978057146072387,-3.351144552230835,-6.194725513458252,-20.04631996154785,-23.49734115600586
16,-0.8353940844535828,-1.2147037982940674,-3.184688329696656,-2.706742763519287,-2.697818756103516,-2.8326594829559326,-0.1159637346863746,-0.0528334006667137,-2.6939826011657715,-12.994089126586914,-12.266481399536133,-14.083613395690918
19,-1.3630056381225586,-0.8416138291358948,-1.1557984352111816,-2.725477695465088,-2.952399253845215,-3.059054374694824,-1.313007354736328,-0.0326990261673927,-0.6588134765625,-21.8848819732666,-21.28637313842773,-20.493804931640625
17,-0.932528555393219,-1.0709986686706543,-2.3883073329925537,-1.983317494392395,-2.272776365280152,-2.30098819732666,-0.0107133304700255,-1.049688458442688,-8.159584045410156,-11.04806137084961,-19.11471939086914,-19.49459648132324
