,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion,agent0_777,agent1_777,agent2_777,agent3_777,agent4_777,agent5_777
0,-3.7919726371765137,-8.131437301635742,-5.681480884552002,-8.289632797241211,-8.911075592041016,-7.716053485870361,-0.8907926082611084,-0.3801299631595611,-0.0049613779410719,-0.7037405967712402,-1.011391520500183,-4.33536434173584
2,-3.437154531478882,-5.966831684112549,-6.909253120422363,-5.924199104309082,-7.597346305847168,-8.400507926940918,-0.5317600965499878,-0.1203345954418182,-0.0730301737785339,-0.1488980501890182,-0.1220719963312149,-0.3382908999919891
4,-3.454223155975342,-7.074019432067871,-7.293353080749512,-8.090372085571289,-9.474483489990234,-7.967824459075928,-0.5858123302459717,-0.1058990508317947,-0.1782448887825012,-0.183386355638504,-1.0011693239212036,-0.2152193635702133
6,-2.6799521446228027,-6.557024955749512,-6.389503479003906,-7.481000900268555,-8.159224510192871,-7.942482471466064,-1.5792744159698486,-0.363925963640213,-0.0724503248929977,-0.632997989654541,-1.813018798828125,-3.369760274887085
5,-3.3428330421447754,-5.90627384185791,-5.556357383728027,-7.198213577270508,-6.84320592880249,-7.75821590423584,-0.346082866191864,-0.1193078979849815,-1.915416240692139,-24.633115768432617,-26.080066680908203,-29.57967758178711
1,-2.9353232383728027,-6.338880062103272,-6.549695014953613,-6.998634338378906,-6.993162155151367,-6.192139148712158,-0.3306704461574554,-0.0177505351603031,-1.0701663494110107,-5.212706089019775,-6.194644451141357,-8.499517440795898
3,-3.929758548736572,-9.173629760742188,-9.492632865905762,-9.492632865905762,-9.492632865905762,-8.971426963806152,-0.6837137341499329,-5.722200870513916,-7.977914333343506,-7.977914333343506,-7.977914333343506,-8.438047409057617
7,-3.1658804416656494,-5.620630741119385,-6.818394184112549,-6.765042304992676,-6.678620338439941,-9.916549682617188,-1.5746197700500488,-0.1356594115495681,-0.1299287974834442,-0.0125307627022266,-0.0306969210505485,-6.83551025390625
8,-3.6688077449798575,-5.753492832183838,-8.10053539276123,-9.060951232910156,-8.958918571472168,-8.477452278137207,-2.180339813232422,-0.0352937877178192,-4.338195323944092,-9.827666282653809,-10.280864715576172,-13.035605430603027
10,-3.647348165512085,-6.407987594604492,-7.097800254821777,-7.758703231811523,-6.026278018951416,-7.852351665496826,-0.4290419220924377,-0.0738625302910804,-0.1260988563299179,-0.6694008708000183,-3.338311195373535,-8.952414512634277
12,-3.254150867462158,-6.547494411468506,-6.952444076538086,-6.646062850952148,-6.2049665451049805,-7.83222770690918,-2.15570330619812,-0.0754510089755058,-0.4420859515666961,-4.504980087280273,-5.54672908782959,-31.3264389038086
14,-3.5137939453125,-5.838567733764648,-7.593831539154053,-8.061975479125977,-8.525026321411133,-8.399300575256348,-2.621077060699463,-0.1608343571424484,-0.9066855907440186,-0.8586339950561523,-0.7776820659637451,-2.261533498764038
13,-3.499510765075684,-7.302270412445068,-8.669927597045898,-7.926491737365723,-7.93952751159668,-7.857659816741943,-0.4501120448112488,-0.0635619834065437,-1.188481330871582,-1.924798607826233,-17.984806060791016,-21.68279457092285
11,-3.653813600540161,-7.37486982345581,-6.751906394958496,-7.304264068603516,-6.648025989532471,-9.06659698486328,-0.6402907371520996,-0.1163188144564628,-0.1226556003093719,-0.0717847123742103,-0.0403747782111167,-4.913622856140137
18,-3.153271198272705,-5.721503257751465,-7.130191326141357,-6.33564043045044,-7.954621315002441,-7.769611358642578,-0.3885036408901214,-0.0247516818344593,-0.0835177525877952,-5.3986029624938965,-20.407211303710938,-25.451583862304688
15,-3.41145133972168,-6.075597763061523,-5.383086204528809,-5.820840835571289,-7.9094462394714355,-7.6033830642700195,,,,,,
9,-3.471144199371338,-5.213484764099121,-5.77048921585083,-8.068835258483887,-8.316025733947754,-8.855938911437988,-0.7218407988548279,-0.0580749101936817,-0.2685836851596832,-8.768024444580078,-7.185730934143066,-12.436301231384276
16,-3.463989019393921,-7.386914730072021,-8.87547779083252,-8.74499225616455,-7.915198802947998,-7.817236423492432,-1.0232970714569092,-0.1801348477602005,-1.431752324104309,-3.8545925617218018,-8.933889389038086,-12.244213104248049
19,-3.080472469329834,-6.697203636169434,-7.834273815155029,-7.83096981048584,-8.850085258483887,-8.254644393920898,-1.3177242279052734,-0.3236149251461029,-0.4280059337615967,-7.83119010925293,-7.04711389541626,-7.131622791290283
17,-3.32262659072876,-6.79149866104126,-6.570514678955078,-7.293690681457519,-8.579523086547852,-8.616071701049805,-0.2669511437416076,-1.0409477949142456,-2.5682179927825928,-7.547402858734131,-11.96838092803955,-10.520180702209473
