,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan,agent0_350,agent1_350,agent2_350,agent3_350,agent4_350,agent5_350
0,-3.303151607513428,-3.2979421615600586,-3.7960879802703857,-4.482568264007568,-4.960201263427734,-5.241578102111816,-0.046025525778532,-0.0679281800985336,-0.5340169668197632,-8.738587379455566,-12.739158630371094,-7.922855854034424
8,-3.576005220413208,-2.5823655128479004,-3.4641876220703125,-4.454413890838623,-3.0156354904174805,-2.571359872817993,-0.4084402918815613,-0.0509327724575996,-0.3431354165077209,-0.0406332090497016,-0.573584794998169,-1.2471189498901367
16,-2.9842538833618164,-3.259390354156494,-3.0476648807525635,-3.9736487865448,-3.239978551864624,-3.88318133354187,,,,,,
2,-3.596393346786499,-2.5253586769104004,-4.239919662475586,-5.291140079498291,-5.250053882598877,-5.374342918395996,-0.0315749645233154,-0.2103175371885299,-12.365153312683104,-16.405670166015625,-16.630149841308594,-13.806330680847168
1,-3.560253143310547,-5.191599845886231,-5.1458001136779785,-5.905998706817627,-5.905998706817627,-5.941433906555176,-0.0467374995350837,-3.164947032928467,-8.975027084350586,-12.499248504638672,-12.499248504638672,-12.47935390472412
9,-3.2947654724121094,-3.70499324798584,-3.6544651985168457,-3.349106311798096,-2.354391098022461,-5.603373527526856,-0.0452337488532066,-0.0433745644986629,-0.0155399246141314,-4.530874729156494,-0.0827676504850387,-17.7435359954834
17,-3.66636323928833,-4.263686656951904,-5.165345191955566,-5.1848320960998535,-5.146708488464356,-5.349925518035889,,,,,,
3,-3.623770475387573,-3.037907600402832,-2.550978422164917,-4.316941261291504,-5.225174903869629,-5.141934871673584,-0.0223218780010938,-0.0552047044038772,-0.0896422639489173,-5.398467540740967,-4.8780436515808105,-3.946079254150391
10,-3.771141767501831,-3.8153932094573975,-3.289639472961426,-2.755567073822021,-4.728972911834717,-4.722358226776123,-0.3471849262714386,-0.514694333076477,-0.1248157620429992,-1.1234086751937866,-8.686695098876953,-6.695923805236816
11,-3.4744246006011963,-2.3933544158935547,-4.42922306060791,-5.369783878326416,-5.378060817718506,-4.876950263977051,-0.0822502225637435,-0.0366920083761215,-8.64562702178955,-8.79874324798584,-8.875914573669434,-5.648057460784912
18,-3.454275131225586,-3.0049309730529785,-1.9716662168502808,-2.63826847076416,-4.789880275726318,-4.199708938598633,,,,,,
19,-3.534730195999145,-4.06537389755249,-4.062012195587158,-4.325873851776123,-6.592459201812744,-6.369178295135498,-0.1191746443510055,-0.1663094609975814,-2.866711378097534,-4.681859493255615,-33.4659309387207,-39.67682647705078
5,-3.6528148651123047,-2.6622138023376465,-3.746813058853149,-3.743163585662842,-4.865338802337647,-4.664090156555176,-0.0023354417644441,-0.0799141526222229,-1.861286163330078,-5.481708526611328,-8.934011459350586,-6.844859600067139
4,-2.8771567344665527,-2.967759370803833,-3.898671865463257,-4.002373695373535,-4.847426891326904,-4.728871822357178,-0.077957198023796,-0.3447531759738922,-2.297454595565796,-6.761397361755371,-9.49733066558838,-9.642861366271973
12,-3.39335298538208,-2.523111581802368,-3.3900046348571777,-7.906103134155273,-7.829971790313721,-6.743475914001465,,,,,,
13,-3.3640952110290527,-2.482950210571289,-3.868372678756714,-5.497571468353272,-5.355839729309082,-5.591883659362793,-0.0181710347533226,-0.2345851510763168,-10.667098999023438,-18.3984489440918,-18.095726013183597,-17.56001853942871
7,-3.734380006790161,-1.6994256973266602,-4.670042991638184,-3.4192099571228027,-5.199956893920898,-4.514030456542969,-0.4604136943817138,-0.1435581892728805,-8.040888786315918,-3.0778372287750244,-8.023619651794434,-8.904952049255371
6,-3.140177726745605,-3.1584348678588867,-3.814552068710327,-4.957059860229492,-4.957059860229492,-5.023456573486328,-0.1453769505023956,-1.4639298915863037,-3.5944020748138428,-12.35131549835205,-12.35131549835205,-8.472396850585938
15,-3.496498107910156,-3.6095082759857178,-3.628467798233032,-4.694045066833496,-8.884964942932129,-8.505167007446289,,,,,,
14,-3.797227621078491,-3.701128482818604,-3.279407024383545,-2.661130666732788,-3.299312353134156,-5.037097930908203,,,,,,
