,agent0_dolphin,agent1_dolphin,agent2_dolphin,agent3_dolphin,agent4_dolphin,agent5_dolphin,agent0_153,agent1_153,agent2_153,agent3_153,agent4_153,agent5_153
0,-0.0508914440870285,-0.2436268627643585,-0.5423495173454285,-0.2598662376403808,-0.2396218478679657,-0.1897533386945724,-1.7284400463104248,-0.38800248503685,-11.849303245544434,-13.52011775970459,-10.281375885009766,-12.045122146606444
2,-0.0346944779157638,-0.2252551466226577,-0.2906897962093353,-0.8631657361984253,-0.49716916680336,-0.2595907747745514,-0.4202456772327423,-2.6715550422668457,-0.439104676246643,-0.3193401098251343,-10.524827003479004,-17.013715744018555
4,-0.1320954412221908,-0.517894983291626,-0.4558131992816925,-0.4722622632980346,-0.4567560255527496,-0.8522173762321472,-1.7885656356811523,-8.494146347045898,-7.753551959991455,-7.697578430175781,-7.50893497467041,-12.685113906860352
6,-0.0307930447161197,-0.7153738141059875,-0.3212256133556366,-0.2444967329502105,-0.3330183029174804,-0.3822374641895294,-0.0085255233570933,-0.0143593754619359,-1.3994752168655396,-6.722311973571777,-8.794676780700684,-13.012767791748049
5,-0.0529248192906379,-1.049525022506714,-0.4032382667064667,-0.7934172749519348,-0.2903048992156982,-0.6951001882553101,-0.4569271802902221,-0.0995631366968154,-3.970215797424317,-9.694223403930664,-12.382841110229492,-10.20139217376709
1,-0.0484619550406932,-0.9470725655555724,-0.3390376269817352,-0.3518067896366119,-0.3570984601974487,-0.3741427361965179,-0.7054131627082825,-10.326394081115724,-10.70913314819336,-9.258387565612791,-10.723223686218262,-19.77250099182129
3,-0.0590526275336742,-0.450101375579834,-0.4322053492069244,-0.3574432134628296,-0.3602203130722046,-0.4722599685192108,-0.0145071735605597,-0.1909493207931518,-4.748198986053467,-4.531468868255615,-4.17141056060791,-9.338622093200684
7,-0.0698826536536216,-0.2134456932544708,-0.1947215348482132,-0.3591525852680206,-0.4327004253864288,-0.3287952244281769,-0.9076048135757446,-0.2765823304653168,-7.470162868499756,-12.712244987487791,-13.214215278625488,-16.052438735961914
8,-0.1365519165992736,-0.5649350881576538,-0.6918379664421082,-0.7216312289237976,-0.6908023357391357,-0.7443948984146118,-0.8386784195899963,-0.1191403567790985,-1.2799049615859983,-14.126386642456056,-14.031192779541016,-17.015213012695312
10,-0.051837682723999,-0.9747325778007508,-0.1821860820055008,-0.3338083326816559,-0.3933791816234588,-0.8307539820671082,-1.9869544506073,-0.3144315779209137,-0.1906942427158355,-0.0404914505779743,-1.1826980113983154,-0.1625926941633224
12,-5.462736129760742,-0.8113362789154053,-0.8333016633987427,-0.2219447344541549,-0.5349684357643127,-0.3622738122940063,-1.8711645603179927,-0.0389084368944168,-0.0284628942608833,-0.2529419362545013,-1.0002593994140625,-14.667139053344728
14,-0.0783524289727211,-0.6150221824645996,-0.2021156996488571,-0.1037157699465751,-0.2887904942035675,-0.6015803217887878,-1.607511043548584,-0.814636766910553,-2.3554744720458984,-0.2784646451473236,-8.329839706420898,-7.197844505310059
13,-0.0718744844198226,-0.1911051869392395,-0.4969580769538879,-0.4575192630290985,-0.1528080254793167,-0.5775274038314819,-0.2520628273487091,-0.0739056318998336,-0.3717041015625,-0.9424392580986024,-14.84223175048828,-17.371950149536133
11,-0.0241525713354349,-0.3049231767654419,-0.4505798816680908,-0.2680965960025787,-0.1989524066448211,-0.281555712223053,-0.2198249846696853,-0.2439926415681839,-0.0854144841432571,-4.070843696594238,-8.930850982666016,-14.183198928833008
9,-0.0369522124528884,-0.379977822303772,-0.2572915852069855,-0.2317418158054351,-0.1995621770620346,-0.2118138521909713,-1.4142704010009766,-0.0503832027316093,-0.1558225154876709,-0.0979864597320556,-0.4155107140541076,-18.18425369262696
15,-0.0506474897265434,-0.2100221663713455,-0.3633879423141479,-0.151109978556633,-0.2861790359020233,-0.2883281409740448,-1.6088387966156006,-0.0373979322612285,-0.0540195852518081,-0.9997767806053162,-29.812530517578125,-25.85611724853516
18,-0.1189953759312629,-0.3586938381195068,-0.1797102838754654,-0.0879760608077049,-0.0717452317476272,-0.1673346161842346,-0.9541788101196288,-4.197403907775879,-4.382246971130371,-11.462143898010254,-6.469583988189697,-15.352030754089355
16,-0.0541409887373447,-0.4582412838935852,-0.6252979040145874,-0.2713740766048431,-0.1429375857114792,-0.2240598946809768,-1.2325265407562256,-0.0372789539396762,-8.682377815246582,-13.64439868927002,-12.942319869995115,-18.421720504760746
19,-0.0917311012744903,-0.2687800824642181,-1.2431814670562744,-0.2321459352970123,-0.3914996385574341,-0.5110769271850586,-1.0924030542373655,-0.1098137646913528,-0.2556045949459076,-7.562717914581299,-24.563356399536133,-24.53543472290039
17,-0.0468150861561298,-0.4740671217441559,-1.189384937286377,-1.199532985687256,-0.710284948348999,-1.065889596939087,-0.4892569184303283,-0.0938452780246734,-0.1132720485329628,-10.885607719421388,-7.083487987518311,-11.29237461090088
