,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala,agent0_289,agent1_289,agent2_289,agent3_289,agent4_289,agent5_289
0,-2.912350416183472,-3.6146936416625977,-6.639995098114014,-5.9354329109191895,-6.853171825408936,-5.689858913421631,-0.306250661611557,-0.0269380696117877,-1.988752722740173,-2.6010773181915283,-6.8758864402771,-4.221553325653076
2,-3.0787570476531982,-3.797075033187866,-2.4217214584350586,-6.000659942626953,-6.895476341247559,-6.92837381362915,-0.5536416172981262,-0.0581940039992332,-0.4247665703296661,-3.0574233531951904,-6.521267890930176,-9.045138359069824
4,-2.6861684322357178,-2.4289774894714355,-4.1792988777160645,-4.708802223205566,-6.735360145568848,-6.156842708587647,-1.4934301376342771,-0.2844519913196563,-0.0942018181085586,-0.2227257639169693,-5.454689979553223,-4.841986656188965
6,-2.39380955696106,-3.172247886657715,-2.488932609558105,-5.545853614807129,-3.003224372863769,-3.5260086059570312,-2.802829504013061,-0.200937420129776,-0.1976518332958221,-0.100165955722332,-0.4128187298774719,-0.1834942102432251
5,-4.463317394256592,-3.834233283996582,-6.585193634033203,-7.104794025421143,-7.911985874176025,-7.763634204864502,-1.8436802625656128,-0.6408823132514954,-4.323574542999268,-6.872543811798096,-18.36958694458008,-26.170398712158203
1,-1.9329754114151,-3.2036523818969727,-4.5421061515808105,-5.821223258972168,-5.305700302124023,-5.988694190979004,-0.6534416675567627,-0.1566423773765564,-0.1743307113647461,-5.8254170417785645,-19.73150634765625,-26.84904861450196
3,-3.222865343093872,-2.258651733398437,-2.5628817081451416,-2.5535926818847656,-6.692915916442871,-6.501399517059326,-0.5655089616775513,-0.1109208986163139,-0.2034604847431183,-0.1685472428798675,-1.6851449012756348,-7.410346508026123
7,-1.8598167896270752,-3.8182528018951416,-2.9358456134796143,-4.361810207366943,-6.208132743835449,-7.6462321281433105,-1.662187099456787,-0.1402963548898697,-0.0418951548635959,-1.1537072658538818,-23.631311416625977,-23.428586959838867
8,-2.983769178390503,-3.143089771270752,-6.265993595123291,-6.714235305786133,-6.947169303894043,-7.427749156951904,-2.3645541667938232,-0.2957936823368072,-1.1911622285842896,-2.116807222366333,-21.88322639465332,-26.84995079040528
10,-2.623002290725708,-3.44146728515625,-5.955076694488525,-7.413519382476807,-7.295387268066406,-6.831876277923584,-2.3047845363616943,-1.2582348585128784,-6.077182292938232,-6.655979633331299,-7.30197286605835,-7.997128009796143
12,-3.828291416168213,-3.2738711833953857,-2.911100387573242,-5.351198673248291,-4.435494422912598,-3.960094690322876,,,,,,
14,-1.639569878578186,-4.3194899559021,-3.171828031539917,-5.832324504852295,-4.24268913269043,-5.549296379089356,,,,,,
13,-1.9915446043014529,-4.216753482818604,-3.6250321865081774,-4.060224533081055,-6.103572845458984,-7.155222415924072,-0.1597882062196731,-0.8058575391769409,-0.2372063249349594,-0.2763367295265198,-7.470479488372803,-11.333792686462402
11,-2.7579448223114014,-4.45640754699707,-3.9366376399993896,-4.726304531097412,-4.721762657165527,-8.182821273803711,-0.5711077451705933,-0.1701947897672653,-0.1575116366147995,-2.212798833847046,-2.163081169128418,-30.19924545288086
18,-3.543605327606201,-2.6440441608428955,-3.74709415435791,-6.6389875411987305,-5.688146114349365,-6.1663498878479,-1.719438910484314,-0.2349884510040283,-0.1176705434918403,-0.7273752093315125,-1.8307090997695925,-6.130766868591309
15,-2.8940789699554443,-4.711320877075195,-6.503112316131592,-6.877830982208252,-6.7781081199646,-6.785419464111328,,,,,,
9,-2.729299306869507,-3.5032520294189453,-3.7874503135681152,-4.24128532409668,-4.652240753173828,-8.016475677490234,-0.2381296455860138,-0.214112713932991,-0.1526007950305938,-0.1976811587810516,-0.4423789978027344,-9.107717514038086
16,-2.645298480987549,-4.165230751037598,-5.808420658111572,-6.72000789642334,-7.69913387298584,-7.379573345184326,-0.7434601783752441,-0.9823993444442748,-0.8349032402038574,-3.251370668411255,-6.56129789352417,-9.393628120422363
19,-1.801361322402954,-4.047778606414795,-6.341021060943604,-7.041080951690674,-6.9448089599609375,-7.3450164794921875,-1.1966509819030762,-0.063564546406269,-4.502695083618164,-8.09904670715332,-8.650472640991211,-16.172998428344727
17,-2.477792501449585,-5.082042694091797,-5.963893413543701,-6.134627342224121,-7.1732563972473145,-6.597335338592529,-0.6310545206069946,-0.2114747166633606,-1.418246507644653,-2.3198792934417725,-6.218528747558594,-5.978121757507324
