,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe,agent0_719,agent1_719,agent2_719,agent3_719,agent4_719,agent5_719
0,-0.6551312208175659,-2.556256055831909,-3.536006689071656,-4.941000461578369,-4.941000461578369,-4.60073184967041,-0.8485886454582214,-2.998159646987915,-9.07900333404541,-10.430251121520996,-10.430251121520996,-9.709368705749512
2,-0.6959254145622253,-1.7966077327728271,-2.20588755607605,-2.839423656463623,-4.301259517669678,-4.210883617401123,-0.2622697651386261,-1.3664571046829224,-0.1324438601732254,-2.6642937660217285,-7.029684543609619,-7.620169639587402
4,-0.675871729850769,-1.5148006677627563,-2.198721170425415,-2.565980195999145,-1.320376992225647,-0.7152014374732971,-0.3883303999900818,-0.378312885761261,-0.5132218599319458,-0.1846716254949569,-0.5159902572631836,-1.4047200679779053
6,-0.6106686592102051,-0.7997589111328125,-0.5818367004394531,-3.481680154800415,-2.5678560733795166,-2.9372384548187256,-0.019697418436408,-0.0943530574440956,-0.0746330469846725,-1.1290050745010376,-0.7813127040863037,-3.7242298126220703
5,-0.7463972568511963,-4.047122001647949,-5.029467582702637,-5.158273220062256,-5.158273220062256,-5.139570236206055,-1.0923011302947998,-9.468585014343262,-12.182085990905762,-11.516910552978516,-11.516910552978516,-13.010611534118652
1,-0.7381393909454346,-0.4261761903762817,-0.4938048124313354,-2.681946516036988,-3.491692543029785,-5.971731662750244,-0.2429555058479309,-0.0937368273735046,-0.1100043207406997,-3.3074820041656494,-5.137182712554932,-31.466251373291016
3,-0.6865559220314026,-0.4782168567180633,-3.768942832946777,-4.190731048583984,-3.901813268661499,-4.093513488769531,-0.020376868546009,-0.189958855509758,-6.320590496063232,-6.179113388061523,-5.524314403533936,-8.132792472839355
7,-0.645473062992096,-1.7087482213974,-1.3875824213027954,-3.738117218017578,-3.738117218017578,-3.2866718769073486,-0.6275733709335327,-0.0670339986681938,-0.3135063350200653,-2.2763922214508057,-2.2763922214508057,-2.340181350708008
8,-0.797113835811615,-0.8737427592277527,-1.0329669713974,-0.4988154172897339,-3.830767154693604,-3.2302355766296387,-1.4882625341415403,-0.0960632786154747,-0.0361774340271949,-0.0723438337445259,-2.005512952804565,-23.085798263549805
10,-0.8901485204696655,-1.8726131916046145,-2.2307496070861816,-3.976112365722656,-5.952185153961182,-4.579153060913086,-0.8038281798362732,-0.3808779716491699,-5.263200759887695,-4.173385620117188,-7.270044326782227,-10.922074317932129
12,-1.1382211446762085,-0.6376359462738037,-3.869585275650024,-3.963050603866577,-3.935732126235962,-4.230521202087402,,,,,,
14,-1.4254053831100464,-3.261587858200073,-3.6605944633483887,-4.1503729820251465,-3.2130789756774902,-3.279260635375977,,,,,,
13,-1.1509075164794922,-3.1201345920562744,-5.075035095214844,-3.704385995864868,-4.095374584197998,-4.060853481292725,-0.0087592899799346,-0.2241013348102569,-1.8810609579086304,-1.873974323272705,-4.296782970428467,-8.528010368347168
11,-0.8371637463569641,-1.464695930480957,-2.06233811378479,-2.279761791229248,-3.829496383666992,-4.59213399887085,-1.0104293823242188,-0.8128805160522461,-11.04091739654541,-9.274327278137209,-30.288923263549805,-34.48472213745117
18,-1.2104846239089966,-4.21157693862915,-3.2490334510803223,-4.360224723815918,-4.494430541992188,-3.817629098892212,-1.3016668558120728,-1.1526918411254885,-10.123079299926758,-15.740851402282717,-12.135376930236816,-13.76683235168457
9,-0.7984204888343811,-2.806103467941284,-4.1508660316467285,-4.437141418457031,-4.23826789855957,-3.7529897689819336,-1.58805251121521,-1.091825246810913,-8.125716209411621,-8.739173889160156,-9.377113342285156,-10.764419555664062
15,-0.6350506544113159,-2.4881389141082764,-2.852727174758911,-3.1019763946533203,-3.3484976291656494,-3.361697196960449,,,,,,
16,-0.744648277759552,-0.4308328628540039,-0.958008110523224,-3.7982637882232666,-4.087635517120361,-3.750689268112183,-0.601315438747406,-0.021548630669713,-0.0827702730894088,-6.314395427703857,-13.793187141418455,-15.835830688476562
19,-0.9971145391464232,-0.5750828385353088,-2.8388888835906982,-4.6978840827941895,-5.068041324615479,-4.333931922912598,-0.8724133968353271,-0.0439939722418785,-1.0961174964904783,-29.418014526367188,-30.53938674926757,-29.69805908203125
17,-0.6430657505989075,-4.106727123260498,-1.995363116264344,-4.043365955352783,-5.307758331298828,-5.459504127502441,-0.3312057554721832,-0.8846513628959656,-0.409769594669342,-6.565197944641113,-16.214658737182617,-22.54114151000977
