,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.7734375,-7.5859375,-7.890625,-8.609375,-8.4140625,-8.4140625
1,-9.296875,-8.875,-9.03125,-8.0390625,-8.3984375,-8.125
2,-9.1640625,-8.3671875,-7.546875,-8.125,-8.03125,-8.6484375
3,-7.20703125,-7.0234375,-6.8828125,-7.28125,-7.6796875,-6.87109375
4,-7.48046875,-8.9609375,-8.4140625,-8.59375,-8.9296875,-8.421875
5,-8.203125,-9.4609375,-8.6953125,-8.7421875,-8.7421875,-9.21875
6,-8.3046875,-7.9296875,-5.4453125,-8.4140625,-8.625,-8.5546875
7,-7.3359375,-8.40625,-9.15625,-9.1015625,-9.09375,-8.9921875
8,-8.3984375,-6.89453125,-7.28125,-7.61328125,-8.7265625,-8.1015625
9,-8.0625,-7.2421875,-8.4375,-8.1875,-8.5234375,-8.3984375
10,-8.7890625,-8.609375,-8.578125,-9.2109375,-9.046875,-8.2578125
11,-8.375,-8.3984375,-8.6875,-8.28125,-8.296875,-8.4921875
12,-6.90234375,-8.1953125,-7.87109375,-8.3125,-7.18359375,-7.2109375
13,-8.3671875,-8.8515625,-8.1015625,-8.140625,-7.9609375,-8.140625
14,-8.1484375,-9.3515625,-7.3984375,-8.6171875,-8.1171875,-8.3984375
15,-7.40625,-7.21875,-8.4140625,-9.0078125,-9.0078125,-8.71875
16,-8.2734375,-8.9296875,-8.0234375,-7.12890625,-7.9140625,-8.1171875
17,-6.88671875,-8.671875,-8.5546875,-8.5078125,-8.6328125,-8.7734375
18,-8.5,-8.71875,-8.6328125,-8.0546875,-8.28125,-7.796875
19,-9.234375,-10.7890625,-8.1875,-7.90625,-8.21875,-8.671875
