,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-7.31640625,-14.890625,-14.2265625,-14.1015625,-14.6640625,-17.890625
1,-8.734375,-14.140625,-13.9140625,-12.7890625,-12.6171875,-11.7578125
2,-6.44921875,-11.4765625,-12.234375,-11.1875,-10.7421875,-14.25
3,-7.79296875,-13.9375,-12.3671875,-12.328125,-12.328125,-14.7734375
4,-6.62890625,-13.6328125,-14.515625,-15.90625,-16.546875,-14.515625
5,-7.42578125,-15.2578125,-15.0703125,-15.5,-14.796875,-16.5
6,-7.04296875,-15.515625,-12.59375,-14.5234375,-14.0703125,-15.21875
7,-8.2421875,-14.0,-14.765625,-14.34375,-14.75,-16.921875
8,-6.9140625,-14.0546875,-13.796875,-13.578125,-13.5859375,-17.53125
9,-6.57421875,-12.59375,-13.1015625,-12.9921875,-12.625,-16.109375
10,-6.59375,-12.0703125,-10.3046875,-15.28125,-13.1796875,-15.71875
11,-6.125,-13.984375,-16.046875,-16.375,-15.09375,-17.3125
12,-6.11328125,-15.125,-15.328125,-15.515625,-15.0,-15.546875
13,-6.4765625,-15.296875,-14.3515625,-13.9375,-15.2890625,-17.265625
14,-6.7734375,-15.2265625,-13.96875,-14.703125,-16.21875,-20.0625
15,-6.3203125,-15.140625,-15.390625,-15.609375,-15.390625,-14.8203125
16,-5.9375,-13.640625,-13.4140625,-13.078125,-13.0234375,-13.6328125
17,-8.59375,-14.015625,-13.09375,-13.328125,-12.9140625,-12.8203125
18,-7.1171875,-16.296875,-18.828125,-15.8359375,-14.28125,-16.078125
19,-7.66015625,-15.1484375,-14.6953125,-13.8125,-12.78125,-14.875
