,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee,agent0_500,agent1_500,agent2_500,agent3_500,agent4_500,agent5_500
0,-6.669941425323486,-5.951364517211914,-5.607815265655518,-6.7014007568359375,-6.95778751373291,-6.794307231903076,-0.4467933177947998,-0.0130173349753022,-0.5828161239624023,-18.60833168029785,-24.00148582458496,-25.71785354614257
8,-6.0210137367248535,-5.837718486785889,-6.345951080322266,-5.309195518493652,-6.900264263153076,-6.614243030548096,-1.0496554374694824,-2.842073917388916,-0.0461724922060966,-0.6040235161781311,-11.45563507080078,-15.266190528869627
16,-6.4824981689453125,-5.590014457702637,-5.7775750160217285,-6.714351654052734,-6.9547319412231445,-6.511326789855957,-0.3818210959434509,-0.0555330403149127,-3.365426540374756,-11.115221977233888,-14.069731712341309,-16.98339080810547
2,-6.6078410148620605,-5.779038429260254,-5.954918384552002,-5.179959774017334,-6.289549350738525,-6.252904891967773,-0.1784166395664215,-0.0815035030245781,-0.0094161191955208,-0.4912970066070556,-9.169049263000488,-14.53982639312744
1,-6.489741802215576,-5.35723352432251,-5.710885047912598,-7.07632303237915,-6.373462200164795,-6.578051090240479,-0.2272950410842895,-0.0171308871358633,-3.2331113815307617,-26.55406951904297,-23.044647216796875,-29.030319213867188
9,-6.43582010269165,-5.595489501953125,-5.418863296508789,-6.223543643951416,-6.934457302093506,-6.872806072235107,-0.8807256817817688,-0.0406353548169136,-0.0361579023301601,-12.316625595092772,-19.31216049194336,-33.554630279541016
17,-6.46480131149292,-6.857043266296387,-5.172195911407471,-6.229821681976318,-5.83125638961792,-6.028329849243164,-0.1784663945436477,-0.0405109971761703,-0.9378272891044616,-6.286299705505371,-35.25880432128906,-34.716434478759766
3,-5.9508466720581055,-5.622535705566406,-6.02717399597168,-6.713901996612549,-6.57848596572876,-6.637292861938477,-0.0114190578460693,-0.0208186320960521,-1.8820030689239504,-6.166671276092529,-18.668460845947266,-38.76996994018555
10,-6.435203552246094,-5.413233757019043,-5.21391487121582,-6.666162967681885,-6.717245101928711,-7.266212940216064,-1.0241005420684814,-0.0323372110724449,-0.1828846782445907,-11.365671157836914,-30.090532302856445,-35.68427276611328
11,-7.333115577697754,-5.755932331085205,-6.425523281097412,-5.16914701461792,-6.24241304397583,-6.639646530151367,-0.9781744480133056,-0.1905868500471115,-0.7129261493682861,-0.0601687617599964,-20.92073631286621,-24.65108299255371
18,-6.166796684265137,-6.070518493652344,-5.233783721923828,-4.902654647827148,-5.175155162811279,-5.543035507202148,-0.4378542006015777,-0.0079013686627149,-0.5042898058891296,-0.7888054251670837,-3.390397310256958,-1.9593522548675537
19,-6.484808444976807,-5.610963344573975,-5.196555137634277,-5.177369117736816,-6.701320171356201,-6.549745082855225,-0.4111728966236114,-0.0753784552216529,-0.5106954574584961,-0.6646249294281006,-13.610578536987305,-14.220267295837402
5,-6.05793571472168,-5.891144275665283,-6.161961555480957,-5.768789768218994,-5.851093769073486,-5.258572101593018,-0.2121807038784027,-0.0586156994104385,-0.0745816156268119,-0.9574316740036012,-1.950650334358216,-0.0299793370068073
4,-6.512542724609375,-5.893099784851074,-5.493553161621094,-5.435869216918945,-6.48029375076294,-6.946545124053955,-0.4099117219448089,-0.2387303411960601,-7.183679580688477,-13.294852256774902,-21.223609924316406,-27.557361602783203
12,-6.6388115882873535,-6.075355052947998,-6.484271049499512,-6.612125873565674,-6.612125873565674,-7.26332950592041,,,,,,
13,-6.626193523406982,-5.811199188232422,-5.452903747558594,-6.457021236419678,-6.457021236419678,-6.648757457733154,-0.2887618243694305,-0.0371790863573551,-1.051080584526062,-14.048906326293944,-14.048906326293944,-14.823485374450684
7,-6.451412677764893,-6.121360778808594,-6.162098407745361,-6.109561443328857,-6.166419982910156,-6.2355055809021,-0.5929328799247742,-0.0275809001177549,-7.589226722717285,-4.534058570861816,-5.283917427062988,-3.1690008640289307
6,-6.32199239730835,-5.905257225036621,-5.943996906280518,-5.879440784454346,-6.585257053375244,-6.222630977630615,-1.994290828704834,-0.2858111262321472,-0.8929946422576904,-0.1364882588386535,-0.0518757961690425,-0.1142728552222251
15,-5.899980068206787,-5.886970043182373,-6.321779727935791,-6.143903255462647,-6.05617094039917,-6.280592918395996,,,,,,
14,-7.061898231506348,-5.636165142059326,-5.715529918670654,-4.890504360198975,-5.504638195037842,-5.687124252319336,,,,,,
