,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-5.57421875,-6.921875,-6.73046875,-6.26953125,-6.5546875,-6.453125
1,-4.66015625,-6.5546875,-6.78125,-6.47265625,-6.50390625,-7.12109375
2,-5.4453125,-6.07421875,-7.328125,-6.94140625,-6.89453125,-7.578125
3,-4.64453125,-7.171875,-7.13671875,-7.51171875,-6.359375,-6.921875
4,-5.2265625,-6.13671875,-7.01953125,-6.95703125,-7.2421875,-7.37109375
5,-4.27734375,-7.1875,-7.3984375,-7.69921875,-6.93359375,-7.421875
6,-5.22265625,-8.3984375,-7.8359375,-7.6640625,-7.80859375,-8.078125
7,-5.453125,-8.359375,-8.3515625,-8.0390625,-7.9140625,-8.21875
8,-5.390625,-7.5,-8.1328125,-7.8125,-7.59375,-7.8359375
9,-4.734375,-6.65234375,-6.88671875,-7.28125,-6.61328125,-6.88671875
10,-5.62109375,-6.9375,-9.8515625,-8.421875,-8.484375,-7.53125
11,-4.6796875,-6.27734375,-7.046875,-7.19921875,-7.20703125,-7.62109375
12,-4.33984375,-7.1015625,-6.69921875,-6.94140625,-7.49609375,-7.04296875
13,-6.4375,-9.4296875,-6.80859375,-7.01171875,-7.1015625,-7.19921875
14,-4.75390625,-7.13671875,-6.7109375,-6.5078125,-7.00390625,-6.9609375
15,-5.7890625,-9.4609375,-10.1640625,-8.8046875,-8.109375,-9.125
16,-4.73828125,-7.59375,-6.84375,-6.75,-6.66015625,-7.0234375
17,-5.03125,-7.45703125,-8.890625,-7.61328125,-6.84765625,-7.53125
18,-5.265625,-5.36328125,-7.5,-8.15625,-7.6015625,-7.69140625
19,-5.32421875,-8.90625,-7.02734375,-6.33203125,-6.9765625,-7.49609375
