,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-7.03515625,-8.203125,-8.8046875,-11.2265625,-10.0078125,-11.9140625
1,-6.1875,-7.8515625,-10.9765625,-10.6953125,-10.984375,-11.421875
2,-8.0078125,-8.734375,-9.953125,-10.03125,-10.5234375,-11.2890625
3,-6.30859375,-8.984375,-10.2734375,-9.8828125,-11.0546875,-11.546875
4,-5.80078125,-10.9921875,-9.9140625,-9.4140625,-10.625,-11.3359375
5,-5.94921875,-8.234375,-10.6484375,-10.0234375,-10.5078125,-10.484375
6,-7.6640625,-8.296875,-9.1953125,-8.953125,-9.0234375,-10.2890625
7,-7.21875,-8.46875,-10.5625,-10.5703125,-9.96875,-10.0390625
8,-8.3046875,-8.921875,-9.1484375,-11.140625,-10.9765625,-12.375
9,-6.4765625,-6.33984375,-9.078125,-10.96875,-11.3046875,-12.2734375
10,-6.75,-10.5703125,-10.65625,-10.8359375,-10.7421875,-11.3125
11,-6.62890625,-9.59375,-10.671875,-10.171875,-9.71875,-8.921875
12,-5.9609375,-10.2578125,-10.765625,-9.9453125,-9.90625,-10.9609375
13,-7.76171875,-7.71484375,-8.8671875,-10.6015625,-10.1171875,-11.359375
14,-8.015625,-10.0234375,-9.8671875,-10.5,-9.4453125,-10.5
15,-5.99609375,-10.0390625,-10.453125,-9.84375,-10.109375,-10.890625
16,-6.30859375,-9.1015625,-10.0859375,-9.9609375,-9.8203125,-11.9765625
17,-6.19140625,-10.75,-11.6328125,-10.65625,-9.875,-11.3359375
18,-6.98046875,-8.84375,-10.328125,-9.7421875,-9.953125,-11.0546875
19,-6.578125,-9.875,-11.2734375,-11.3671875,-9.5703125,-10.8125
