,agent0_panda,agent0_sea turtle,agent0_koala,agent0_peacock,agent0_lion,agent0_dolphin,agent0_octopus,agent0_snow leopard,agent0_quokka,agent0_sea otter,agent0_honeybee,agent0_elephant,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_orangutan,agent0_chimpanzee,agent1_panda,agent1_sea turtle,agent1_koala,agent1_peacock,agent1_lion,agent1_dolphin,agent1_octopus,agent1_snow leopard,agent1_quokka,agent1_sea otter,agent1_honeybee,agent1_elephant,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_orangutan,agent1_chimpanzee,agent2_panda,agent2_sea turtle,agent2_koala,agent2_peacock,agent2_lion,agent2_dolphin,agent2_octopus,agent2_snow leopard,agent2_quokka,agent2_sea otter,agent2_honeybee,agent2_elephant,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_orangutan,agent2_chimpanzee,agent3_panda,agent3_sea turtle,agent3_koala,agent3_peacock,agent3_lion,agent3_dolphin,agent3_octopus,agent3_snow leopard,agent3_quokka,agent3_sea otter,agent3_honeybee,agent3_elephant,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_orangutan,agent3_chimpanzee,agent4_panda,agent4_sea turtle,agent4_koala,agent4_peacock,agent4_lion,agent4_dolphin,agent4_octopus,agent4_snow leopard,agent4_quokka,agent4_sea otter,agent4_honeybee,agent4_elephant,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_orangutan,agent4_chimpanzee,agent5_panda,agent5_sea turtle,agent5_koala,agent5_peacock,agent5_lion,agent5_dolphin,agent5_octopus,agent5_snow leopard,agent5_quokka,agent5_sea otter,agent5_honeybee,agent5_elephant,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_orangutan,agent5_chimpanzee
3.0,-8.391407012939453,-9.714920043945312,-9.033929824829102,-7.555597305297852,-5.700231552124023,-3.346193313598633,-4.565413951873779,-7.490701675415039,-7.461770057678223,-7.3237624168396,-8.047839164733887,-4.922747611999512,-7.823363304138184,-7.762048244476318,-5.192992210388184,-8.824838638305664,-8.420065879821777,-8.137367248535156,-10.844001770019531,-9.696927070617676,-7.24326753616333,-7.743116855621338,-3.521057844161988,-1.9701991081237795,-6.868141174316406,-7.682735443115234,-7.235651016235352,-7.398910045623779,-5.060928821563721,-9.939604759216309,-10.003026962280272,-6.810094356536865,-9.09002685546875,-9.573302268981934,-9.81399154663086,-10.725061416625977,-10.734238624572754,-12.144868850708008,-11.672112464904783,-3.4281129837036133,-0.2500554025173187,-10.816916465759276,-7.620571613311768,-6.6848578453063965,-7.779002666473389,-6.571441650390625,-12.68011474609375,-11.808586120605469,-10.053960800170898,-8.579424858093262,-7.684427738189697,-10.499730110168455,-12.112468719482422,-11.776640892028809,-13.092972755432127,-12.363072395324709,-3.443974733352661,-0.1635224521160125,-11.410009384155272,-8.366700172424316,-6.981655597686768,-8.516424179077148,-6.659682750701904,-13.663761138916016,-12.60256290435791,-10.832999229431152,-8.719518661499023,-7.99287748336792,-9.031662940979004,-10.162959098815918,-9.594367027282717,-11.457310676574709,-10.139866828918455,-2.721359968185425,-0.4566587209701538,-10.374279022216797,-8.045655250549316,-6.374306201934815,-7.039886951446533,-5.180169105529785,-11.614177703857422,-10.480215072631836,-8.957243919372559,-7.90166425704956,-6.980775356292725,-10.318089485168455,-12.252792358398438,-11.747390747070312,-12.877134323120115,-12.125848770141602,-2.8661417961120605,-0.3086701929569244,-11.351783752441406,-8.537993431091309,-6.959723472595215,-8.593301773071289,-6.202273845672607,-13.209829330444336,-11.878271102905272,-10.613807678222656,-8.61409854888916,-7.825532913208008
4.0,-7.870347023010254,-8.376047134399414,-8.564513206481934,-6.571752548217773,-5.242116928100586,-2.985389471054077,-3.2640469074249268,-7.200207233428955,-7.249946594238281,-6.60590124130249,-7.206390857696533,-4.269281387329102,-7.280953407287598,-7.004899501800537,-4.049860954284668,-8.329059600830078,-7.741918563842773,-7.358720779418945,-8.369620323181152,-7.849944114685059,-7.117013454437256,-7.624821662902832,-2.3830270767211914,-2.394406080245972,-7.405171871185303,-6.773575782775879,-5.724689483642578,-5.558606624603272,-4.233390808105469,-7.587836265563965,-7.7108869552612305,-5.6095805168151855,-8.670830726623535,-8.327061653137207,-9.483565330505373,-11.172637939453123,-10.515853881835938,-11.628623008728027,-11.23539924621582,-3.1912336349487305,-0.3390045464038849,-10.723661422729492,-7.533938407897949,-6.612357139587402,-7.099129676818848,-6.062826156616211,-11.846427917480469,-11.098968505859377,-9.53947925567627,-8.522222518920898,-7.287323951721191,-9.79335594177246,-11.472763061523438,-10.76451587677002,-11.852023124694824,-11.320276260375977,-3.33540415763855,-0.2762035429477691,-11.027551651000977,-7.807812213897705,-6.582931995391846,-7.23858118057251,-6.128695487976074,-12.076393127441406,-11.48698902130127,-9.567537307739258,-8.4332275390625,-6.826369285583496,-8.06549072265625,-10.80221939086914,-8.997498512268066,-11.777727127075195,-9.37346076965332,-3.29585599899292,-0.3097454905509949,-9.164833068847656,-7.467154026031494,-6.039870262145996,-6.716084957122803,-5.57265043258667,-10.635223388671877,-9.482376098632812,-8.439391136169434,-7.182531833648682,-6.210935592651367,-9.880012512207031,-11.646490097045898,-11.18282699584961,-12.1909761428833,-11.018911361694336,-3.463964462280273,-0.190699890255928,-10.776800155639648,-7.383129119873047,-6.5111260414123535,-7.752601623535156,-6.30689811706543,-12.459856986999512,-11.681591987609863,-10.066370964050291,-8.401063919067383,-6.969145774841309
5.0,-8.991023063659668,-10.073153495788574,-10.55241870880127,-9.057220458984377,-6.948162078857422,-4.209419250488281,-5.014594078063965,-8.9820556640625,-9.517199516296388,-7.798341751098633,-9.224467277526855,-5.75318717956543,-8.639636039733887,-8.952747344970703,-6.460338592529297,-9.122922897338867,-9.029746055603027,-9.128151893615724,-11.390423774719238,-9.352394104003906,-10.673216819763184,-10.56747055053711,-3.67727255821228,-0.4508336782455444,-9.771796226501465,-5.980119228363037,-6.568110466003418,-7.176032066345215,-6.69033145904541,-10.739554405212402,-11.057243347167969,-8.750020980834961,-8.306595802307129,-7.157175064086914,-10.328720092773438,-12.217281341552734,-11.025298118591309,-12.018354415893556,-11.054655075073242,-3.407952308654785,-0.2832057476043701,-11.032221794128418,-6.96435022354126,-6.816871166229248,-7.731356143951416,-6.711458206176758,-12.052613258361816,-12.945941925048828,-9.641754150390623,-8.8572416305542,-6.972169399261475,-9.633323669433594,-11.970962524414062,-10.378569602966309,-12.07444953918457,-10.57886791229248,-3.493220806121826,-0.3017271161079407,-10.457868576049805,-7.412451267242432,-6.753319263458252,-7.434589862823486,-6.389556407928467,-11.829684257507324,-12.20628261566162,-9.448058128356934,-8.265157699584961,-6.669537544250488,-9.00432300567627,-12.010129928588867,-10.816059112548828,-14.019613265991213,-10.36582374572754,-3.094762086868286,-0.1319885998964309,-11.0927152633667,-8.822476387023926,-6.723194599151611,-8.417293548583984,-5.925693511962891,-12.471890449523926,-11.101065635681152,-9.494540214538574,-8.17613697052002,-6.63319206237793,-8.30655288696289,-3.412664890289306,-9.246466636657717,-11.667183876037598,-9.588894844055176,-4.878152370452881,-0.3118221461772918,-9.293941497802734,-6.087334156036377,-3.904916524887085,-5.27225399017334,-5.636336803436279,-11.46198272705078,-10.01304817199707,-8.703360557556152,-7.950099945068359,-6.983523845672607
6.0,-8.689988136291504,-10.08407497406006,-8.501997947692871,-8.843605995178223,-6.066526412963867,-3.222338914871216,-4.696930408477783,-8.37317943572998,-7.786021709442139,-7.476416110992432,-8.058985710144043,-4.574413299560547,-7.740554809570312,-7.655599117279053,-5.589012145996094,-8.531388282775879,-7.814455986022949,-6.505295753479004,-8.471959114074707,-7.088663101196289,-8.321247100830078,-6.011293411254883,-2.025929450988769,-2.1234724521636963,-7.412283420562744,-5.858599185943604,-5.872256755828857,-6.1292724609375,-3.585932731628418,-6.9938483238220215,-5.737322807312012,-5.205297470092773,-7.384706497192383,-5.991074562072754,-10.08954620361328,-11.618220329284668,-10.922518730163574,-12.480345726013184,-10.947853088378906,-3.631946325302124,-0.1562159210443496,-11.083645820617676,-7.008840560913086,-6.582525253295898,-7.28196907043457,-6.394223690032959,-12.247849464416504,-12.504105567932127,-9.54161262512207,-8.334395408630371,-6.3902974128723145,-9.225150108337402,-10.856050491333008,-10.111350059509276,-11.466718673706056,-10.787652015686035,-3.739626169204712,-0.3269850313663482,-9.823264122009276,-6.539708137512207,-6.381355285644531,-6.952155113220215,-6.534913063049316,-11.30309009552002,-10.845892906188965,-9.25698947906494,-8.115382194519043,-6.625877857208252,-9.05147933959961,-11.41138744354248,-9.933514595031738,-11.670757293701172,-10.516556739807127,-3.253877639770508,-0.3619937896728515,-9.857208251953123,-7.338067531585693,-6.813263893127441,-6.9342474937438965,-6.074531555175781,-11.288071632385254,-11.084558486938477,-9.205291748046877,-8.04257583618164,-6.556695461273193,-10.484611511230469,-11.732852935791016,-11.54940414428711,-12.259023666381836,-11.723779678344728,-3.566544771194458,-0.2472198009490966,-10.732025146484377,-7.564800262451172,-7.09248161315918,-7.452561378479004,-6.578792572021484,-12.541890144348145,-12.523429870605469,-10.314319610595703,-8.721512794494629,-7.275196075439453
7.0,-8.071500778198242,-9.562444686889648,-9.098915100097656,-7.352455615997314,-5.960252285003662,-3.2828574180603027,-4.285024642944336,-8.119475364685059,-7.729844570159912,-7.142049789428711,-7.882099151611328,-4.7138447761535645,-8.026841163635254,-7.3873291015625,-5.214385986328125,-8.778755187988281,-8.205116271972656,-10.20143985748291,-12.526504516601562,-10.591830253601074,-12.002266883850098,-12.660520553588867,-3.494556665420532,-0.1835858672857284,-9.992740631103516,-6.883559226989746,-7.506026268005371,-9.041068077087402,-7.30801248550415,-13.148849487304688,-13.164501190185549,-10.538646697998049,-8.376633644104004,-8.907018661499023,-11.076356887817385,-12.383207321166992,-12.143917083740234,-13.255172729492188,-12.629902839660645,-4.197729110717773,-0.1256981194019317,-11.64498805999756,-7.41426944732666,-7.187993049621582,-8.366998672485352,-7.424497604370117,-13.754073143005373,-13.33860206604004,-10.77992057800293,-8.648287773132324,-7.618922710418701,-7.747458457946777,-10.517263412475586,-7.809026718139648,-12.16844367980957,-10.030768394470217,-3.221395254135132,-0.2147460132837295,-9.53101634979248,-8.379637718200684,-6.355956554412842,-7.581476211547852,-5.432061195373535,-11.089599609375,-9.274788856506348,-8.687182426452637,-7.037567138671875,-6.915693759918213,-8.286072731018066,-9.820793151855469,-8.768516540527344,-11.42070198059082,-10.869372367858888,-3.3062069416046143,-0.191013365983963,-9.36902904510498,-6.397566318511963,-5.895800590515137,-7.060305595397949,-6.312228679656982,-11.224483489990234,-10.23206901550293,-9.07390022277832,-7.263413429260254,-7.493542671203613,-8.88184642791748,-10.58900260925293,-9.298447608947754,-12.308003425598145,-10.969704627990724,-3.4794797897338867,-0.1633147746324539,-10.108558654785156,-7.507712841033935,-6.531645774841309,-7.801209926605225,-6.05037784576416,-11.704455375671388,-10.500234603881836,-9.597050666809082,-7.401547908782959,-7.704691886901855
14.0,-8.819286346435547,-10.534937858581545,-10.183716773986816,-8.362095832824707,-6.562110900878906,-4.519869804382324,-5.795377254486084,-9.16184425354004,-8.768829345703125,-7.90204381942749,-9.040997505187988,-4.807729721069336,-8.89891242980957,-8.29210376739502,-5.50966739654541,-9.655458450317385,-9.07472801208496,-7.32334566116333,-10.121994018554688,-8.382853507995605,-9.552984237670898,-9.2447509765625,-3.223477840423584,-0.3190076649188995,-7.368709087371826,-6.338735103607178,-5.538599967956543,-7.573115825653076,-5.026727199554443,-10.196856498718262,-8.607860565185547,-7.117184638977051,-7.298263072967529,-7.0952467918396,-10.514333724975586,-11.41075325012207,-11.455801963806152,-12.381025314331056,-11.59021282196045,-4.214744567871094,-0.1897525042295456,-11.04831314086914,-7.24250316619873,-6.571752548217773,-7.398406982421875,-7.041197776794434,-12.509665489196776,-12.892836570739746,-10.035573959350586,-8.643525123596191,-6.923763751983643,-8.22916030883789,-10.677505493164062,-8.877634048461914,-11.823756217956545,-9.830660820007324,-3.124094247817993,-0.4495212137699127,-8.91312313079834,-7.442752361297607,-5.959403038024902,-6.823005199432373,-5.668065547943115,-10.819771766662598,-9.84625244140625,-8.877957344055176,-7.300184726715088,-6.523560047149658,-9.20764446258545,-11.232566833496094,-10.00846004486084,-12.24225616455078,-10.877641677856444,-2.9841301441192627,-0.3008498847484588,-9.796388626098633,-7.5810089111328125,-6.23502254486084,-7.360414981842041,-5.860373020172119,-11.984807014465332,-10.127129554748535,-9.654134750366213,-7.914211273193359,-6.846385002136231,-9.368852615356444,-10.946207046508787,-9.814789772033691,-11.915348052978516,-10.351092338562012,-3.6347694396972656,-0.283128947019577,-9.406314849853516,-6.683645248413086,-6.260195255279541,-7.177956581115723,-6.408742904663086,-10.971105575561523,-10.46505641937256,-9.257299423217772,-7.997634410858154,-7.135999202728272
