,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion,agent0_7,agent1_7,agent2_7,agent3_7,agent4_7,agent5_7
0,-2.4386377334594727,-5.36338996887207,-5.061101913452148,-5.032135009765625,-6.219369411468506,-5.657515048980713,-0.5455057621002197,-0.0136937266215682,-0.1817613840103149,-1.1228615045547483,-1.2612351179122925,-0.989982008934021
2,-2.306702136993408,-4.176497936248779,-6.229849338531494,-7.415124416351318,-7.313346862792969,-6.720785140991211,-0.18604676425457,-0.9829267859458924,-1.8379933834075928,-2.189857721328736,-1.813529372215271,-0.5098440647125244
4,-2.77610731124878,-5.3205976486206055,-4.937877655029297,-7.532962322235107,-8.25813102722168,-8.275906562805176,-1.1244932413101196,-0.0033149658702313,-0.2359587252140045,-0.4050460755825043,-3.904075860977173,-5.47928524017334
6,-2.74088716506958,-7.216259479522705,-8.268715858459473,-8.218598365783691,-7.896887302398682,-6.464808464050293,-0.1133706048130989,-1.773959755897522,-2.186467409133911,-1.810330390930176,-1.2516067028045654,-0.3269659280776977
5,-3.687968254089356,-5.143063545227051,-6.697458267211914,-6.704972267150879,-6.536001205444336,-6.262518405914307,-3.3291263580322266,-0.8377673029899597,-0.8006640076637268,-2.2121500968933105,-1.7713289260864258,-1.4468610286712646
1,-2.3716907501220703,-4.942619323730469,-6.41220235824585,-6.9257636070251465,-6.735197067260742,-6.379507541656494,-1.494369626045227,-0.2089234888553619,-1.043363094329834,-1.526169776916504,-1.5514659881591797,-0.5494937896728516
3,-2.6302287578582764,-5.361452579498291,-6.432751178741455,-6.491610050201416,-6.722312450408936,-5.7255682945251465,-0.2266670912504196,-0.8573129177093506,-2.088453769683838,-1.8462703227996824,-2.2722740173339844,-0.7102869749069214
7,-3.534342765808105,-6.361338138580322,-7.233131408691406,-7.233131408691406,-7.233131408691406,-6.282668113708496,-1.7280373573303225,-0.4509608149528503,-1.753114938735962,-1.753114938735962,-1.753114938735962,-0.4257726967334747
8,-2.738224744796753,-5.305641174316406,-4.189733982086182,-4.911517143249512,-3.565762042999268,-4.236739635467529,-0.6717360615730286,-0.0219293031841516,-0.028182990849018,-0.1262350082397461,-0.2344986945390701,-1.201728582382202
10,-2.6137003898620605,-4.828312873840332,-6.363933563232422,-7.945712089538574,-8.360907554626465,-9.055781364440918,-0.6839874386787415,-0.0170772299170494,-0.0627357214689254,-1.627683401107788,-1.8492895364761357,-0.14460071921348572
12,-2.717246055603028,-4.614993572235107,-4.83897876739502,-7.278464317321777,-6.532477378845215,-7.139060020446777,-0.663803219795227,-0.6023392677307129,-0.5155770182609558,-0.589509129524231,-0.2017461657524109,-0.571898877620697
14,-3.12831974029541,-5.882248878479004,-6.714488506317139,-7.71323299407959,-8.70708179473877,-8.582886695861816,-0.6137361526489258,-0.0170083921402692,-0.2766255736351013,-0.6173390746116638,-3.861264228820801,-2.1427128314971924
13,-2.8198037147521973,-3.45828628540039,-3.5898218154907227,-3.330662250518799,-2.904067039489746,-7.082752704620361,-0.7450360655784607,-0.0452255867421627,-0.1896405518054962,-0.045888677239418,-0.3378106951713562,-2.486882209777832
11,-2.649585723876953,-3.978966236114502,-5.599543571472168,-6.6366119384765625,-6.6841254234313965,-6.440443992614746,-0.5673491954803467,-0.2753342688083648,-0.7246081829071045,-0.6890312433242798,-0.7078350186347961,-2.227612257003784
18,-3.825026750564575,-4.393368244171143,-6.814731597900391,-6.814731597900391,-6.814731597900391,-6.112521648406982,-1.6684997081756592,-2.871802806854248,-3.6135313510894775,-3.6135313510894775,-3.6135313510894775,-2.806956052780152
15,-2.650012493133545,-4.183459281921387,-4.002370357513428,-4.864718914031982,-6.939664840698242,-7.39211893081665,,,,,,
9,-3.084775686264038,-4.711424827575684,-4.078301906585693,-4.502699851989746,-5.75299072265625,-5.75995397567749,-0.4522702395915985,-0.0282518677413463,-0.2132423371076584,-0.0972937792539596,-0.2865094840526581,-1.40759015083313
16,-3.291065216064453,-7.177364349365234,-7.989577293395996,-8.01130485534668,-7.542751312255859,-8.061774253845215,-1.2411136627197266,-0.7259612679481506,-2.73396372795105,-2.202558279037476,-3.259540319442749,-1.4321595430374146
19,-2.6446776390075684,-3.677577257156372,-7.016768455505371,-6.616766929626465,-8.252826690673828,-7.581299781799316,-1.2378599643707275,-0.1968288421630859,-1.0773460865020752,-1.670101284980774,-0.2812371253967285,-4.807884693145752
17,-2.895816802978516,-4.640424728393555,-7.106465816497803,-9.08180332183838,-7.867059230804443,-6.708494186401367,-3.138909339904785,-0.4374222159385681,-0.5804446935653687,-0.1490078717470169,-0.9265347123146056,-2.757108688354492
