,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-2.7342607975006104,-5.126255035400391,-5.476727485656738,-6.026155948638916,-6.139849185943604,-5.657515048980713
1,-2.552675724029541,-5.520947456359863,-6.624998092651367,-6.536746501922607,-6.281205654144287,-6.379507541656494
2,-2.8382225036621094,-3.622964859008789,-6.029336452484131,-7.624547481536865,-7.39425802230835,-6.720785140991211
3,-2.8889732360839844,-5.626678466796875,-6.595750331878662,-6.574972152709961,-6.4031758308410645,-5.7255682945251465
5,-4.0664167404174805,-5.975573539733887,-6.4049482345581055,-6.537612915039063,-6.51109504699707,-6.262518405914307
7,-4.006943225860596,-6.481908798217773,-7.201717853546143,-7.202744483947754,-7.319304466247559,-6.282668113708496
6,-3.123252391815185,-7.480697154998779,-8.281533241271973,-8.426767349243164,-7.9618048667907715,-6.464808464050293
8,-2.698197841644287,-3.682131290435791,-3.313404560089112,-4.5152974128723145,-4.041727066040039,-4.236739635467529
9,-3.390437602996826,-4.069448471069336,-4.185333728790283,-3.367779493331909,-6.259486198425293,-5.75995397567749
10,-3.243643522262573,-4.973691463470459,-6.93073844909668,-7.589271545410156,-7.604672431945801,-9.055781364440918
11,-3.18892240524292,-4.165737152099609,-5.568665981292725,-7.049832820892334,-6.991079807281494,-6.440443992614746
13,-3.356868267059326,-3.461317777633667,-3.5787487030029297,-2.919517040252685,-3.979793548583984,-7.082752704620361
12,-3.0320873260498047,-5.246266841888428,-5.21488618850708,-7.204739570617676,-6.820750713348389,-7.139060020446777
14,-3.717991828918457,-6.136365413665772,-7.093649864196777,-8.19273567199707,-8.69000244140625,-8.582886695861816
23,-3.7930850982666016,-4.906529426574707,-3.962594509124756,-5.1528425216674805,-4.858036041259766,-4.583317756652832
16,-3.6975176334381104,-7.545064449310303,-8.181379318237305,-8.246458053588867,-8.395722389221191,-8.061774253845215
17,-3.7737629413604736,-5.630780220031738,-7.153639793395996,-8.405062675476074,-7.603899955749512,-6.708494186401367
18,-4.016870021820068,-5.3942413330078125,-6.783662796020508,-6.908170223236084,-6.938479423522949,-6.112521648406982
19,-2.61604905128479,-4.980530738830566,-6.577763557434082,-7.485946655273437,-8.24657154083252,-7.581299781799316
4,-3.5513925552368164,-5.817923545837402,-6.020864009857178,-8.179977416992188,-8.307629585266113,-8.275906562805176
22,-3.169771909713745,-4.777536392211914,-5.969714164733887,-7.6323981285095215,-6.003730297088623,-7.995553493499756
21,-3.195761442184448,-5.302178859710693,-6.806990623474121,-6.752082347869873,-6.456963062286377,-5.148573398590088
15,-3.289877891540528,-4.942028999328613,-5.442087173461914,-4.673252582550049,-7.374637603759766,-7.39211893081665
20,-2.441048145294189,-5.664321899414063,-5.634210586547852,-6.575539588928223,-5.872249603271484,-4.709573745727539
