,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin,agent0_617,agent1_617,agent2_617,agent3_617,agent4_617,agent5_617
0,-0.5006974935531616,-3.0552029609680176,-7.598658084869385,-9.556873321533203,-10.064501762390137,-6.750866413116455,-2.7010509967803955,-0.1015862599015235,-9.357524871826172,-24.0352725982666,-30.75268173217773,-25.16813468933105
2,-1.3414050340652466,-3.564044237136841,-6.374474048614502,-8.510150909423828,-9.431653022766112,-9.783611297607422,-0.7013059854507446,-0.0566109493374824,-7.593910694122314,-10.50592041015625,-14.58347988128662,-15.308137893676758
8,-0.9954623579978944,-6.746171951293945,-6.035735130310059,-6.690644264221191,-6.463913917541504,-6.656909942626953,-1.3210134506225586,-2.2342708110809326,-0.4896151423454284,-1.156245231628418,-11.965977668762209,-16.965412139892578
16,-1.1018218994140625,-2.7557263374328613,-4.0691657066345215,-2.46958875656128,-3.81348180770874,-5.8534979820251465,-0.3750789165496826,-0.1085627824068069,-0.3735145628452301,-0.7410897612571716,-0.3325532078742981,-0.8313682079315186
1,-0.8940994739532471,-1.025037407875061,-5.301511287689209,-6.178886890411377,-9.691269874572754,-7.148238182067871,-0.2113416939973831,-0.0133030489087104,-0.0282142609357833,-0.2070878893136978,-6.811801910400391,-10.601540565490724
3,-0.7117433547973633,-2.615678071975708,-4.71001672744751,-3.132591962814331,-6.737941265106201,-8.452988624572754,-0.0512847229838371,-0.3426790535449981,-0.2905250787734985,-0.622081458568573,-2.9190518856048584,-2.219271183013916
9,-1.0856022834777832,-4.220918655395508,-7.774484157562256,-9.821854591369627,-7.216289043426514,-7.174128532409668,-1.0248236656188965,-0.0839446187019348,-3.601104259490967,-8.582489967346191,-7.758066654205322,-10.843814849853516
17,-1.031930446624756,-1.7387386560440063,-3.7799713611602783,-9.355949401855469,-5.740576267242432,-7.1601338386535645,-0.5242358446121216,-0.1738559305667877,-0.2538646757602691,-3.098080635070801,-25.70074844360352,-30.074649810791016
10,-0.9415393471717834,-4.282762050628662,-7.538867473602295,-6.088013172149658,-6.008018493652344,-2.914866209030152,-0.8620926737785339,-3.769118070602417,-10.18413257598877,-0.9490440487861632,-1.088023066520691,-0.5272963643074036
11,-0.8747197389602661,-5.851968765258789,-6.533548831939697,-9.298857688903809,-8.18696117401123,-6.705179214477539,-1.571945071220398,-0.1826577335596084,-5.8584160804748535,-6.524753570556641,-27.45272445678711,-25.4447021484375
18,-0.8878271579742432,-5.138345241546631,-5.288032531738281,-5.266951084136963,-7.230659008026123,-7.030693531036377,-0.1254394203424453,-0.059416651725769,-0.0088191181421279,-0.1437125355005264,-4.51652717590332,-20.320995330810547
19,-0.7743622064590454,-4.327815055847168,-5.068617820739746,-8.670562744140625,-9.659189224243164,-9.10805892944336,-0.7654659152030945,-0.0109316743910312,-0.0557142198085784,-11.157155990600586,-9.710769653320312,-12.811396598815918
5,-0.921601414680481,-5.045976161956787,-4.695339202880859,-2.4103732109069824,-2.6082355976104736,-7.918126106262207,-0.596163809299469,-0.1277214437723159,-0.1329529881477356,-0.072440855205059,-0.7829041481018066,-11.582671165466309
4,-0.8785490989685059,-3.976857900619507,-4.85520076751709,-7.988026142120361,-8.220524787902832,-8.40835952758789,-1.8682730197906487,-0.1503883302211761,-0.149535670876503,-0.3403646647930145,-0.794903039932251,-5.643150329589844
12,-1.153477430343628,-8.764165878295898,-10.075933456420898,-10.075933456420898,-10.075933456420898,-8.9389066696167,-3.0243256092071533,-12.39660358428955,-12.891450881958008,-12.891450881958008,-12.891450881958008,-11.965736389160156
13,-1.008687138557434,-2.825038194656372,-5.195845603942871,-7.118229389190674,-8.773902893066406,-8.585433959960938,-0.4434732496738434,-0.1314542442560196,-0.2702506482601166,-0.0498024672269821,-6.1717209815979,-6.741223812103272
7,-0.5873763561248779,-5.459967613220215,-7.0218610763549805,-6.274473190307617,-8.649650573730469,-7.856006145477295,-1.0063936710357666,-1.152497410774231,-0.1473626494407653,-0.452657014131546,-8.696625709533691,-12.118897438049316
6,-0.8890009522438049,-5.723233222961426,-5.498115539550781,-6.08014726638794,-5.777527332305908,-3.9428553581237793,-2.04469895362854,-7.617043972015381,-0.0169119630008935,-3.755925178527832,-11.637408256530762,-17.3840389251709
15,-0.9355553984642028,-2.3143293857574463,-3.887899875640869,-8.279998779296875,-9.616926193237305,-7.892048358917236,,,,,,
14,-1.2655892372131348,-3.687443256378174,-9.230266571044922,-10.033540725708008,-9.063827514648438,-10.165457725524902,,,,,,
